fecha,confirmados_Nuevos,confirmados_Acumulado
3-3-2020,1,1
4-3-2020,0,1
5-3-2020,1,2
6-3-2020,6,8
7-3-2020,0,8
8-3-2020,3,12
9-3-2020,5,17
10-3-2020,2,19
11-3-2020,2,21
12-3-2020,10,31
13-3-2020,3,34
14-3-2020,11,45
15-3-2020,11,56
16-3-2020,9,65
17-3-2020,14,79
18-3-2020,19,97
19-3-2020,31,128
20-3-2020,30,158
21-3-2020,67,225
22-3-2020,41,266
23-3-2020,36,301
24-3-2020,86,387
25-3-2020,117,502
26-3-2020,87,589
27-3-2020,101,690
28-3-2020,55,745
29-3-2020,75,820
30-3-2020,146,966
31-3-2020,88,1054
1-4-2020,79,1133
2-4-2020,132,1265
3-4-2020,88,1353
4-4-2020,98,1451
5-4-2020,103,1554
6-4-2020,74,1628
7-4-2020,87,1715
8-4-2020,80,1795
9-4-2020,99,1894
10-4-2020,81,1975
11-4-2020,167,2142
12-4-2020,66,2208
13-4-2020,69,2277
14-4-2020,166,2443
15-4-2020,128,2571
16-4-2020,98,2669
17-4-2020,88,2758
18-4-2020,81,2839
19-4-2020,102,2941
20-4-2020,90,3031
21-4-2020,112,3144
22-4-2020,144,3288
23-4-2020,147,3435
24-4-2020,172,3607
25-4-2020,173,3780
26-4-2020,112,3892
27-4-2020,111,4003
28-4-2020,124,4127
29-4-2020,158,4285
30-4-2020,143,4428
1-5-2020,105,4532
2-5-2020,149,4681
3-5-2020,103,4783
4-5-2020,104,4887
5-5-2020,133,5020
6-5-2020,188,5208
7-5-2020,163,5371
8-5-2020,240,5611
9-5-2020,165,5776
10-5-2020,258,6034
11-5-2020,244,6278
12-5-2020,285,6563
13-5-2020,316,6879
14-5-2020,255,7134
15-5-2020,345,7479
16-5-2020,326,7805
17-5-2020,263,8068
18-5-2020,303,8371
19-5-2020,438,8809
20-5-2020,474,9283
21-5-2020,648,9931
22-5-2020,718,10649
23-5-2020,704,11353
24-5-2020,723,12076
25-5-2020,552,12628
26-5-2020,600,13228
27-5-2020,706,13933
28-5-2020,769,14702
29-5-2020,717,15419
30-5-2020,795,16214
31-5-2020,637,16851
1-6-2020,564,17415
2-6-2020,904,18319
3-6-2020,949,19268
4-6-2020,929,20197
5-6-2020,840,21037
6-6-2020,983,22020
