unidad_experimental	fenologia	estado_de_salud	altura	DAP	cantidad_fustes
1	sin_frutos	sano	3.00746	14.99473	1
2	con_frutos	terminal	3.42245	48.99008	2
3	sin_frutos	sano	3.17909	40.41346	1
4	sin_frutos	sano	5.01358	39.96608	1
5	con_frutos	enfermo	5.62028	52.01632	1
6	sin_frutos	enfermo	4.10110	38.58613	2
7	sin_frutos	sano	4.22520	19.92051	3
8	con_frutos	enfermo	3.68740	30.97730	2
9	sin_frutos	enfermo	3.01296	31.90018	1
10	sin_frutos	enfermo	4.08393	37.34312	1
11	sin_frutos	sano	3.64459	17.68825	1
12	con_frutos	sano	4.76593	30.03204	3
13	sin_frutos	enfermo	5.28694	38.01141	1
14	con_frutos	sano	3.42637	29.50006	2
15	con_frutos	sano	4.89692	30.80776	2
16	sin_frutos	sano	3.68655	33.50651	2
17	con_frutos	enfermo	3.36467	38.28051	1
18	sin_frutos	sano	5.52096	41.06738	1
19	con_frutos	sano	3.33834	20.19828	1
20	con_frutos	sano	3.60012	45.90197	3
21	con_frutos	sano	3.95090	34.08622	2
22	con_frutos	sano	6.55102	57.73925	1
23	con_frutos	sano	5.88361	44.32673	1
24	sin_frutos	sano	4.45943	40.20029	3
25	con_frutos	enfermo	5.27682	55.27787	1
26	sin_frutos	sano	4.98227	39.98850	1
27	con_frutos	enfermo	5.29678	40.07579	2
28	con_frutos	terminal	4.85209	2.44790	1
29	con_frutos	enfermo	3.94483	35.39989	2
30	sin_frutos	terminal	3.18462	22.89340	3
31	con_frutos	sano	4.43838	26.81044	2
32	con_frutos	sano	4.01767	37.95920	1
33	sin_frutos	sano	5.23032	42.91850	1
34	sin_frutos	enfermo	3.40271	34.01364	1
35	sin_frutos	sano	5.18067	15.00032	1
36	sin_frutos	sano	3.67278	15.18012	2
37	con_frutos	terminal	4.24412	42.86263	1
38	con_frutos	sano	3.92737	45.36245	1
39	sin_frutos	sano	4.76799	39.13179	2
40	con_frutos	enfermo	5.58998	51.96973	2
41	con_frutos	sano	4.64531	37.47920	2
42	con_frutos	sano	3.53719	52.69630	1
43	con_frutos	terminal	6.32177	39.00837	1
44	con_frutos	sano	9.70245	73.52128	3
45	con_frutos	enfermo	4.69349	39.50958	1
46	con_frutos	sano	6.14614	56.26767	2
47	con_frutos	sano	3.39810	43.44715	1
48	con_frutos	sano	4.27877	22.59383	1
49	sin_frutos	sano	3.74472	35.07593	3
50	con_frutos	sano	3.90587	31.03206	2
51	sin_frutos	enfermo	4.85240	48.49663	2
52	con_frutos	sano	4.50855	24.55416	1
53	con_frutos	sano	3.55567	9.18826	2
54	con_frutos	sano	4.10152	29.75953	1
55	con_frutos	enfermo	3.32456	33.14342	2
56	con_frutos	sano	4.69922	45.78709	2
57	con_frutos	sano	3.68827	33.97023	1
58	sin_frutos	enfermo	6.90586	40.97122	2
59	con_frutos	sano	3.54518	27.43896	1
60	con_frutos	enfermo	4.31187	43.45468	2
61	sin_frutos	enfermo	7.06647	61.00703	2
62	sin_frutos	sano	3.79977	29.14105	1
63	con_frutos	enfermo	4.14986	35.98267	1
64	con_frutos	enfermo	5.51281	22.23348	2
65	con_frutos	enfermo	5.77793	46.54331	1
66	sin_frutos	enfermo	5.34402	48.45098	3
67	con_frutos	sano	3.36748	39.22858	1
68	con_frutos	sano	3.74039	16.73129	1
69	sin_frutos	sano	3.99711	33.22539	1
70	sin_frutos	sano	3.55478	32.14174	1
71	con_frutos	terminal	4.12733	64.88732	1
72	con_frutos	enfermo	6.09331	26.65863	3
73	sin_frutos	sano	5.82112	55.29920	2
74	con_frutos	enfermo	7.05742	41.38977	2
75	sin_frutos	enfermo	9.31725	60.08389	2
76	con_frutos	terminal	4.33685	28.92882	2
77	sin_frutos	sano	6.09790	45.84526	1
78	con_frutos	enfermo	4.39593	34.40200	4
79	con_frutos	sano	3.36241	44.92484	1
80	sin_frutos	terminal	4.91431	42.38562	3
81	con_frutos	enfermo	3.89714	37.29420	2
82	con_frutos	terminal	4.96994	43.64021	2
83	con_frutos	sano	3.37449	35.64915	1
84	con_frutos	enfermo	4.89103	32.14594	1
85	con_frutos	enfermo	4.81569	40.89863	3
86	sin_frutos	sano	4.62427	35.09978	1
87	con_frutos	enfermo	4.68743	37.21735	2
88	con_frutos	enfermo	5.85738	40.10917	1
