Servicio,NI,MO,RE,NE,ICM,ES
Cirugia,3.583852265406914372e-01,3.039999999999999925e-01,2.442748091603052785e-01,2.579008816780063440e-01,5.641025641025640969e-01,4.439578749492661958e-01
Tocoginecologia,1.000000000000000000e+00,2.400000000000000050e-02,2.213740458015266976e-01,6.526027617859013474e-02,8.547008547008516643e-03,4.479952150043791104e-01
Hematologia,0.000000000000000000e+00,3.279999999999999583e-01,5.038167938931296108e-01,3.560529811989210369e-01,1.000000000000000000e+00,8.296840621194967458e-02
Cardiologia,4.036933648271417985e-02,1.760000000000000175e-01,2.824427480916029687e-01,0.000000000000000000e+00,6.752136752136752573e-01,1.600196526605857372e-01
Digestivo,4.487867726003863522e-02,4.720000000000000306e-01,2.290076335877862246e-01,2.943757800233504085e-01,4.700854700854701362e-01,1.301561532053062409e-01
Medicina.Interna,7.906377496242216196e-01,1.000000000000000000e+00,4.045801526717556218e-01,7.811103506582391942e-01,4.529914529914529919e-01,1.000000000000000000e+00
Neumologia,1.567532746403263455e-02,4.079999999999999738e-01,3.206106870229007422e-01,2.004911630903015440e-02,8.205128205128204844e-01,8.548907354794607616e-02
Otorrinolaringologia,3.457161262615418562e-02,1.680000000000000104e-01,1.603053435114503433e-01,7.996698739884859908e-01,3.076923076923076539e-01,4.411167837993719421e-02
Oftalmologia,1.075799871161692012e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.887193526309433933e-01,2.649572649572649596e-01,0.000000000000000000e+00
Pediatria,7.006656645909383752e-01,2.400000000000000050e-02,1.450381679389312894e-01,2.460646563871331516e-01,0.000000000000000000e+00,2.361737124303078528e-01
Psiquiatria,2.855915825638821737e-02,0.000000000000000000e+00,9.999999999999997780e-01,1.000000000000000000e+00,7.350427350427353179e-01,1.213338175293187798e-01
Traumatologia,1.977668026626583364e-01,5.599999999999999423e-02,9.923664122137403065e-02,4.480454124562180396e-01,5.555555555555555802e-01,2.959007113408668177e-01
Urologia,1.442989048743826552e-01,1.600000000000000033e-01,2.824427480916029687e-01,1.049156568299851183e-01,2.393162393162392987e-01,1.679661632452524034e-01
