,track,album,album_cover,artist,sample,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,lyrics
0,Find a Way or Make One,The Great Heathen Army,https://i.scdn.co/image/ab67616d0000b273cef752c967d00bd5492efbbd,Amon Amarth,https://p.scdn.co/mp3-preview/ef96de7a28cf44912123824d8b86d3339cdb50d5?cid=b1e13d47b67249bda69ed912bb4f7133,2022-08-05,270613,56,0.000929,0.606,0.96,0.000536,0.0413,-6.227,0.044,115.053,4," All alone on these fields of war I stand against a mighty foe I cant go back push on Ive come this far Ill win this fight of that Im sure  Stand tall  And fight  The world will quake Stand tall  And fight  I will never break  When it seems hope is lost Fight them at all cost When it seems all hope is gone I will find a I will find a way  I brace myself against the coming storm Lift my head and stand my ground I hear it soar out loud my battle roar Ill never let myself be bound  Stand tall  And fight  The ground will shake Stand tall  And fight  I will never break  When it seems hope is lost Fight them at all cost When it seems all hope is gone I will find a I will find a way
 No matter what thе odds I will never kneel I trust in ancient Gods and my hеart of steel So send your best with wrath you cannot block my path Though your arrows block the sun Ill find a way or make one  Stand tall  And fight  The world will quake Stand tall  And fight  I will never break  When it seems hope is lost Fight them at all cost When it seems all hope is gone I will find a I will find a  When it seems hope is lost Fight them all at any cost When it seems hope is gone Ill find a way or I will make one"
1,Twilight Of The Thunder God,Twilight Of The Thunder God,https://i.scdn.co/image/ab67616d0000b2739203fd1f5c23f0ad92ce63fa,Amon Amarth,https://p.scdn.co/mp3-preview/f4c98819f1961be5a7c77c338b116d56af3d8516?cid=b1e13d47b67249bda69ed912bb4f7133,2008-09-30,248746,64,1.62e-05,0.374,0.92,0.026,0.0802,-4.653,0.0501,191.014,4, Yeah  There comes Fenris twin his jaws are open wide The serpent rises from the waves Jormungandr twists and turns mighty in his wrath The eyes are full of primal hate  Thor Odins son protector of mankind Ride to meet your fate your destiny awaits Thor Hlödyns son protector of mankind Ride to meet your fate Ragnarök awaits  Vingtor rise to face the snake with hammer high At the edge of the world Bolts of lightning fills the air as Mjölnir does its work The dreadful serpent roars in pain  Thor Odins son protector of mankind Ride to meet your fate your destiny awaits Thor Hlödyns son protector of mankind Ride to meet your fate Ragnarök awaits  Mighty Thor grips the snake firmly by its tongue Lifts his hammer high to strike soon his work is done Vingtor sends the giant snake bleeding to the depth Twilight of the thunder god Ragnarök awaits Twilight of the thunder god Twilight of the thunder god Twilight of the thunder god Twilight of the thunder god   Thor Odins son protector of mankind Ride to meet your fate your destiny awaits Thor Hlödyns son protector of mankind Ride to meet your fate Ragnarök awaits
2,Put Your Back Into The Oar,Put Your Back Into The Oar,https://i.scdn.co/image/ab67616d0000b273c245e9ade9c574adc9f4f46f,Amon Amarth,https://p.scdn.co/mp3-preview/d2253d713457b378154c8f26917bc9ad0f8344c3?cid=b1e13d47b67249bda69ed912bb4f7133,2022-02-17,277893,61,0.000392,0.477,0.934,0.254,0.343,-8.199,0.0554,139.947,4," Row Row Row Row Row Row Row Row Row Row  The ships await us by the  Birka quay All prepared with sixty oars They will carry us on the open sea Heading out to glory wars We have blothed to Aegir To the daughters of Ran We are willing and eager We are leaving at dawn Four days of good wind Then we awoke to an ocean mirror calm Slacking sails we are drifting No direction we are drifting  Glory calls from beyond the waves A chance for fame and rich reward Honour waits beyond the grave So put your back into the oar  The sun is burning now wеre lost at sea Our rations are running low Thirsty throats and hungry flеas But we still got many days to go We are crossing the ocean Left our home in the North The oars have set us in motion They will carry us forth  Each man builds his own fame Now everyone show me what youre worth Who recalls a cowards name? No one remembers who remembers  Glory calls from beyond the waves Beckons those with a heart for war Honour waits beyond the grave So put your back into the oar
 Row Row Row Row Row Row Row Row Row Row Row Row  Row Row Row Row  Row Row Row Row  Row Row Row  Grab your oars Row to glory wars And for victory Into history  Each man builds his own fame Now everyone show me what youre worth Who recalls a cowards name? No one remembers who remembers  Glory calls from beyond the waves Beckons those with a heart for war Honour waits beyond the grave Fear not a bloody fate Glory calls from beyond the waves A chance for fame and rich reward Honour waits beyond the grave So put your back into the oar"
3,The Pursuit Of Vikings,Fate of Norns,https://i.scdn.co/image/ab67616d0000b27395e7594a7df822c720d45867,Amon Amarth,https://p.scdn.co/mp3-preview/759a2cb961e6be485e72bd487f340fb37a79b12c?cid=b1e13d47b67249bda69ed912bb4f7133,2004,270253,58,6.59e-05,0.506,0.967,0.41,0.167,-2.973,0.0451,129.704,4,The warming sun returns again And melts away the snow The sea is freed from icy chains Winter is letting go Standing on the ocean side We can hear the waves Calling us out with tide To sail into our fate Odin Guide our ships Our axes spears and swords Guide us through storms that whip And in brutal war Our ships await us by the shore Time has come to leave Our country family and homes For riches in the east Some of us wont return But that wont bring us down Our fate is written in the web Woven by the Norns A ram is sacrificed Across the longships bow And as we set our sails A strong breeze starts to blow It carries us out to sea With hope of fame and pride And glorious all will be That with sword in hand will die Odin Guide our ships Our axes spears and swords Guide us through storms that whip And in brutal war Odin Guide our ships Our axes spears and swords Guide us through storms that whip And in brutal war
4,Heidrun,The Great Heathen Army,https://i.scdn.co/image/ab67616d0000b273cef752c967d00bd5492efbbd,Amon Amarth,https://p.scdn.co/mp3-preview/380ed2c027e9cad1fe4a7628bf5a3eae9b43a7a9?cid=b1e13d47b67249bda69ed912bb4f7133,2022-08-05,282853,53,0.000483,0.574,0.978,0.000186,0.244,-6.711,0.0406,130.011,4," Heres to a life of roaming around Where theres a feast we can be found Travelling far over sea over land For glory and fame and a drink in our hand Theres no dread in our hearts no remorse in our soul Pillage the world for silver and gold Its the path we have chosen the creed of our kind Standing together leave no one behind  Hail the dead and the goat that gives us mead On the roof shes gnawing Lärads leaves Fills the vat with a drink that is so sweet Worthy of fame Heidrun is her name  This life it is not for everyone The grind of travel can wear you down Our grave may be waiting around the bend But well keep fighting to whatever end And when we are done roaming around There is a feast where we will be found To Valhalla With hearts full of pride A drink in our hand and a girl on our side  Hail the dead and the goat that gives us mead On the roof shes gnawing Lärads leaves Fills the vat to the brim with a drink so sweet Worthy of fame Heidrun is her name Hail the dead and the goat that gives us mead On the roof top gnawing Lärads leaves Fills the vat with a drink thats oh so sweet One and the same Heidrun is her name
 Over the ocean and over land After all the tours We have earned our seats in Odens glorious hall Here we sit at the feast A cold drink in our horns Heidruns the one that gives the mead to the battle worn She stands on Valhallas roof Filling the vat with the sweetest mead She is one and the same Heidrun is her name Whos the goat? Whos the goat? Heidrun Heidrun Whos the goat? Whos the goat? Heidrun Heidrun Whos the goat? Whos the goat? Heidrun Heidrun Whos the goat? Whos the goat? Heidrun Heidrun  Hail the dead and the goat that gives us mead On the roof shes gnawing Lärads leaves Fills the vat with a drink that is so sweet One and the same Heidrun is her name
Hail the dead and the goat that gives us mead On the roof top gnawing Lärads leaves Fills the vat to the brim with a drink so sweet Worthy of fame Heidrun is her name  Heidrun Heidrun Heidrun Heidrun"
5,Guardians Of Asgaard,Twilight Of The Thunder God,https://i.scdn.co/image/ab67616d0000b2739203fd1f5c23f0ad92ce63fa,Amon Amarth,https://p.scdn.co/mp3-preview/b996d9fa2e7460c31dd8713aa14d04f3f7ba75b7?cid=b1e13d47b67249bda69ed912bb4f7133,2008-09-30,263160,60,0.000129,0.529,0.953,0.000487,0.146,-4.562,0.0594,134.968,4," Standing firm against all odds Guarding the most sacred home We protect the realm of Gods Our destiny is carved in stone Three evil giants of the south Are constantly on the attack With lies and fire from their mouths But we always send them back We are brothers of the north Who are sharing the all fathers blood Marching down the left-hand path We are spawned by  Asagods  Cause we are Were the Guardians Guardians of Asgaard Guardians Guardians of Asgaard Guardians of Asgaard  We have faced our enemies A thousand times or even more Still they cannot make us kneel One thousand years of constant war The giants look for any chance To bring down Asgaards mighty walls No matter what they send at us We will never let it fall
 Cause we are Were the Guardians Guardians of Asgaard Guardians Guardians of Asgaard Guardians of Asgaard  Standing firm against all odds We are guarding Asgaards mighty walls We protect the realm of  Asagods No matter what they send at us We will never let them fall  Cause we are Were the Guardians Guardians of Asgaard Guardians Guardians of Asgaard Guardians of Asgaard"
6,Raise Your Horns,Jomsviking,https://i.scdn.co/image/ab67616d0000b273a6c97e91aad5eecb10919b15,Amon Amarth,https://p.scdn.co/mp3-preview/b4c9db2df763553ebadec6a02f6f8007acff70a0?cid=b1e13d47b67249bda69ed912bb4f7133,2016-03-25,263786,57,6.85e-05,0.46,0.876,0.798,0.151,-5.39,0.045,164.992,3," Victory we fought hard and prevailed Brutally we were fighting Stormy seas rolling thunder piercing hail Battlefield lit by lightning Eagerly we filled the waves with enemies Hungrily ravens cawing Home shore calls we return on bloody seas Twilight falls darkness crawling  So pour the beer for thirsty men A drink that they have earned And pour a beer for those who fell For those who did not return  Raise your horns raise them up to the sky We will drink to glory tonight Raise your horns for brave fallen friends We will meet where the beer never ends  No regrets we went out to war and strife To protect king and country Victory honour those who gave their life Willingly we will not grieve  So pour the beer for thirsty men A drink that they have earned And pour a beer for those who fell For those who did not return  Raise your horns raise them up to the sky We will drink to glory tonight Raise your horns for brave fallen friends We will meet where the beer never ends
 Raise your horns raise them up to the sky We will drink to glory tonight Raise your horns raise them up to the sky We will drink tonight  Raise your horns raise them up to the sky We will drink to glory tonight Raise your horns for brave fallen friends We will meet in Valhalla again"
7,War of the Gods,Surtur Rising,https://i.scdn.co/image/ab67616d0000b273167da3d8d7e504aa26076b60,Amon Amarth,https://p.scdn.co/mp3-preview/15c1140e5953ba7f078156e3e6ed7d46bf7ef8e5?cid=b1e13d47b67249bda69ed912bb4f7133,2011-03-29,273253,53,3.44e-05,0.434,0.994,0.0293,0.254,-5.108,0.0836,95.171,4," War the very first war of our world When the treacherous wench was killed Three times burned and three times born By searing flames was Gullveig torn Death Odin hurled his spear off with great force Deep into the great vana-fyrd Battle horns gave off their sound And Asgard was razed to the ground  The Vanir felt deceived Hænir was a fool Without Mímir at his side Hænir could not rule In a fit of violent rage Mímirs blood was shed And to Odins court they sent Mímirs severed head  Truce so a brittle and frail ease was forged Into a shattered piece to make Njordr and Freyr to Asgard came And Hænir and Mímir to Vanaheim Death see the furious gods washed in blood And Odin knew that the way to war Would not bring them any gain Just leave a black and bitter stain  Odin tog huvudet och smorde det med örter Som hindrar det från att ruttna Han kvad sina trollsånger över det Så att Mimer åter kunde tala till honom  The Vanir felt deceived Hænir was a fool Without Mímir at his side Hænir could not rule In a fit of violent rage Mímirs blood was shed And to Odins court they sent Mímirs severed head
The Vanir felt deceived Hænir was a fool Without Mímir at his side Hænir could not rule In a fit of violent rage Mímirs blood was shed And to Odins court they sent Mímirs severed head"
8,The Great Heathen Army,The Great Heathen Army,https://i.scdn.co/image/ab67616d0000b273cef752c967d00bd5492efbbd,Amon Amarth,https://p.scdn.co/mp3-preview/f41f31dbc3bc769348c2c618c85ef296afb47879?cid=b1e13d47b67249bda69ed912bb4f7133,2022-08-05,244693,53,0.00269,0.4,0.985,0.00125,0.188,-7.286,0.0623,200.035,4," In Eight hundred Sixty-Five The year of our Lord They have arrived to take our lives These vicious demons of the North So kneel repent your sins You know theres nowhere you can run But we all know it deep within Salvation will never come  As they landed on our shores Ten thousand warriors from the North They killed our King and marched on York  One by one our lands will fall The Great Heathen Army We all fear the battle call Of the Great Heathen Army God has forsaken us Our faith and belief is crushed The Great Heathen Army Charge  Two hundred ships set sail A massive Viking fleet This quest will never fail Our army doesnt know defeat So make your final stand Father brother son Your death is soon at hand You will be overrun  Weve traveled far to claim our right With vengeance for our fathers death we fight Well put your Kings head on a spike  One by one your lands will fall The Great Heathen Army Hear our mighty battle call The Great Heathen Army Nothing now will hold us back So be prepared come the attack The Great Heathen Army
 Hail to the Great Heathen Army Bow to the Great Heathen Army Hail to the Great Heathen Army Bow to the Great Heathen Army Hail hail the Great Heathen Army Hail hail the Great Heathen Army"
9,Shield Wall,Berserker,https://i.scdn.co/image/ab67616d0000b273e70aac569b94abd971112f1b,Amon Amarth,https://p.scdn.co/mp3-preview/c1c6ec63940596b637ee9351d3ef3b979fdca740?cid=b1e13d47b67249bda69ed912bb4f7133,2019-05-03,226053,50,0.00645,0.552,0.955,0.623,0.356,-5.73,0.0726,129.979,4," They have gathered on these plains Prepared to meet our steel All their efforts are in vain We will crush them We will make them kneel  War Here to conquer battle ready no retreat War Here to conquer battle ready no retreat  Vikings Raise the shield wall Hold the front line Fight till death Vikings Raise the shield wall Hold the front line Fight till death Vikings Raise the shield wall Hold the front line Fight till death Vikings Raise the shield wall Hold the front line Fight till death  A chain is never stronger than its weakest link Well hold this wall together Our hearts will never sink Warfare honour glory death Warfare honour glory death  Here they come a vain attack Our lines will never break Well stand our ground and send them back We will put their heads on stakes
 War Here to conquer battle ready no retreat War Here to conquer battle ready no retreat  Vikings Raise the shield wall Hold the front line Fight till death Vikings Raise the shield wall Hold the front line Fight till death Vikings Raise the shield wall Hold the front line Fight till death Vikings Raise the shield wall Hold the front line Fight till death"
