,track,album,album_cover,artist,sample,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,lyrics
0,Breaking the Law,British Steel,https://i.scdn.co/image/ab67616d0000b273be0e5ebab8c61469b1ff9f62,Judas Priest,https://p.scdn.co/mp3-preview/cb5f2bf729cf7b2e1517d81258ec74c76c4aadb9?cid=b1e13d47b67249bda69ed912bb4f7133,1980,153840,73,0.024,0.362,0.961,9.35e-06,0.159,-5.664,0.0857,164.019,4," There I was completely wasting out of work and down All inside its so frustrating as I drift from town to town Feel as though nobody cares if I live or die So I might as well begin to put some action in my life  Breaking the law breaking the law Breaking the law breaking the law Breaking the law breaking the law Breaking the law breaking the law  So much for the golden future I cant even start Ive had every promise broken theres anger in my heart You dont know what its like you dont have a clue If you did youd find yourselves doing the same thing too  Breaking the law breaking the law Breaking the law breaking the law Breaking the law breaking the law Breaking the law breaking the law  You dont know what its like
  Breaking the law breaking the law Breaking the law breaking the law Breaking the law breaking the law Breaking the law breaking the law  Breaking the law breaking the law Breaking the law breaking the law Breaking the law breaking the law Breaking the law breaking the law"
1,Youve Got Another Thing Coming,Screaming For Vengeance (Expanded Edition),https://i.scdn.co/image/ab67616d0000b273475bd4fb40ba687fbf002c82,Judas Priest,https://p.scdn.co/mp3-preview/a865bf18cbc2c8787ef1544d4154103b773276d6?cid=b1e13d47b67249bda69ed912bb4f7133,1982,310080,67,0.00572,0.519,0.833,4.33e-06,0.104,-6.947,0.0496,138.225,4,
2,Painkiller,Painkiller,https://i.scdn.co/image/ab67616d0000b27360db4ca924d17bc6754e89aa,Judas Priest,https://p.scdn.co/mp3-preview/8300d443f522eecdbfbc3a589c34a8d731e2f3a2?cid=b1e13d47b67249bda69ed912bb4f7133,1990-09-26,365826,68,0.000195,0.435,0.987,0.0847,0.268,-4.667,0.16,103.16,4,"  Faster than a bullet terrifying scream Enraged and full of anger hes half man and half machine Rides the Metal Monster breathing smoke and fire Closing in with vengeance soaring high  He is the Painkiller This is the Painkiller  Planets devastated mankinds on its knees A saviour comes from out the skies in answer to their pleas Through boiling clouds of thunder blasting bolts of steel Evils going under deadly wheels  He is the Painkiller This is the Painkiller Oh  Faster than a laser bullet Louder than an atom bomb Chromium plated boiling metal Brighter than a thousand suns   Flying high on rapture stronger free and brave Nevermore encaptured theyve been brought back from the grave With mankind resurrected forever to survive Returns from Armageddon to the skies  He is the Painkiller This is the Painkiller Wings of steel Painkiller Deadly wheels Painkiller Ah
  He is the Painkiller This is the Painkiller He is the Painkiller This is the Painkiller  Pain Pain Killer Killer Pain Pain Killer Killer   Cant stop the Painkiller Pain"
3,No Surrender,Firepower,https://i.scdn.co/image/ab67616d0000b2735c48f1b63e4b70cf96ffb088,Judas Priest,https://p.scdn.co/mp3-preview/0cda2af301f7e2b7f07f60707d1bc181c2c669a4?cid=b1e13d47b67249bda69ed912bb4f7133,2018-03-09,173973,55,0.000414,0.605,0.897,0.000753,0.0666,-6.08,0.0384,130.053,4," You know that life isnt set I lead the pack I aint no pretender You give as good as you get We live and die cause theres no surrender  Chasing a dream as I go higher Playing it mean my hearts on fire Living my life aint no pretender Ready to fight with no surrender  You know the way that I feel If youre with me you better hold on tighter Im only keeping it real Thats who I am Im just a non-stop fighter  Chasing a dream as I go higher Playing it mean my hearts on fire Living my life aint no pretender Ready to fight with no surrender  Run out of road The end of the days Not for the weak Only the brave   Chasing a dream as I go higher Playing it mean my hearts on fire Living my life aint no pretender Ready to fight with no surrender
 Im chasing a dream as I go higher You know Im playing it mean my hearts on fire Im living my life aint no pretender Ready to fight with no surrender"
4,Living After Midnight,British Steel,https://i.scdn.co/image/ab67616d0000b273be0e5ebab8c61469b1ff9f62,Judas Priest,https://p.scdn.co/mp3-preview/89ec76e74fe5c596f30c3a5a4686db2d3d70c670?cid=b1e13d47b67249bda69ed912bb4f7133,1980,210133,64,0.0136,0.61,0.824,1.75e-06,0.0606,-6.046,0.0534,134.992,4," Living after midnight Rocking to the dawn Loving till the morning Then Im gone Im gone  I took the city bout one A.M  loaded loaded Im all geared up to score again  loaded loaded I come alive in the neon light Thats when I make my moves right  Living after midnight Rocking to the dawn Loving till the morning Then Im gone Im gone  Got gleaming chrome reflecting steel loaded loaded Ready to take on every deal loaded loaded My pulse is racing Im hot to take This motors revved up fit to break  Living after midnight Rocking to the dawn Loving till the morning Then Im gone Im gone  Im aiming for you Im gonna floor you My bodys coming All night long 
 The airs electric sparking power  loaded loaded Im getting hotter by the hour  loaded loaded I set my sights and then home in The joint starts flying when I begin  Living after midnight Rocking to the dawn Loving till the morning Then Im gone Im gone  Living after midnight Rocking to the dawn Loving till the morning"
5,The Hellion,Screaming For Vengeance (Expanded Edition),https://i.scdn.co/image/ab67616d0000b273475bd4fb40ba687fbf002c82,Judas Priest,https://p.scdn.co/mp3-preview/6548165ad84411a6e56fdb6c9d8558dd6333bbec?cid=b1e13d47b67249bda69ed912bb4f7133,1982,39920,53,3.31e-06,0.0752,0.637,0.817,0.233,-7.469,0.0352,80.06,3,
6,Heading Out to the Highway,Point Of Entry,https://i.scdn.co/image/ab67616d0000b273397a50d3dede88554925c717,Judas Priest,https://p.scdn.co/mp3-preview/9ccc0caa5cbeb2e6efc23d6c7c0246140e3b8116?cid=b1e13d47b67249bda69ed912bb4f7133,1981,225533,55,0.00635,0.444,0.922,0.0,0.305,-4.519,0.0529,140.206,4," Well Ive said it before and Ill say it again You get nothing for nothing expect it when Youre backseat driving and your hands aint on the wheel Its easy to go along with the crowd And find later on that your say aint allowed Oh thats the way to find what youve been missing  So Im heading out to the highway I got nothing to lose at all Im gonna do it my way Take a chance before I fall A chance before I fall  You can hang in a left or hang in a right The choice it is yours to do as you might The road is open wide to place your bidding Now wherever you turn wherever you go If you get it wrong at least you can know Theres miles and miles to put it back together  And Im heading out to the highway I got nothing to lose at all Im going to do it my way Take a chance before I fall A chance before I fall
 On the highway on the highway   Making a curve or taking the strain On the decline or out  on the wane Oh everybody breaks down sooner or later Well put it to rights well square up and mend Back on your feet to take the next bend Youll weather every storm thats coming at you  And Im heading out to the highway I got nothing to lose at all Im going to do it my way Take a chance before I fall Yes Im heading out to the highway I got nothing to lose at all I got nothing to lose at all"
7,Turbo Lover - Remastered,Turbo 30,https://i.scdn.co/image/ab67616d0000b273f9f6bcc0db4dd8d19d73ca7e,Judas Priest,https://p.scdn.co/mp3-preview/03a1530613fd993a7d55f836280bc420ff8604ef?cid=b1e13d47b67249bda69ed912bb4f7133,1986-04-07,333999,58,0.174,0.551,0.876,9.04e-06,0.397,-7.02,0.037,151.575,4," You wont hear me but youll feel me Without warning somethings dawning listen Then within your senses Youll know youre defenseless How your heart beats when you run for cover You cant retreat I spy like no other Then well race together We can ride forever Wrapped in horsepower driving into fury Changing gear I pull you tighter to me  Im your turbo lover Tell me theres no other Im your turbo lover Better run for cover  We hold each other closer As we shift to overdrive And everything goes rushing by With every nerve alive We move so fast it seems as though Weve taken to the sky Love machines in harmony We hear the engines cry  Im your turbo lover Tell me theres no other Im your turbo lover Better run for cover   On and on were charging To the place so many seek In perfect synchronicity Of which so many speak We feel so close to heaven In this roaring heavy load And then in sheer abandonment We shatter and explode
 Im your turbo lover Tell me theres no other Im your turbo lover Better run for cover Im your turbo lover Tell me theres no other Im your turbo lover Better run for cover"
8,Firepower,Firepower,https://i.scdn.co/image/ab67616d0000b2735c48f1b63e4b70cf96ffb088,Judas Priest,https://p.scdn.co/mp3-preview/7c27e79493b884c0c98eb0f1414bf5a08124e4a4?cid=b1e13d47b67249bda69ed912bb4f7133,2018-03-09,207444,55,3.22e-05,0.482,0.957,0.25,0.11,-6.149,0.0552,95.011,4," With weapons drawn we claim the future Invincible through every storm Bring in the foe to be defeated To pulverize from dusk till dawn  Firepower Petrifies Firepower  The die is cast make no exceptions Were forged by evil to compel Come rally round this lack of freedom Our union thrives so go to Hell  Firepower Taking lives Firepower Neutralize  Empty the chamber Lock and reload This world thrives on danger Its bound to explode  Aim for the target With laser red lights Releasing the trigger Puts victory in sight  No time to pray or ask forgiveness Those blessed souls are now deceased There is no sense in this contrition With open arms we fight for peace
 We fight with firepower Petrifies Firepower Between the eyes Firepower Mortifies Firepower Mans demise"
9,Electric Eye,Screaming For Vengeance (Expanded Edition),https://i.scdn.co/image/ab67616d0000b273475bd4fb40ba687fbf002c82,Judas Priest,https://p.scdn.co/mp3-preview/f6073854dd3b6248fe67631a8e6e9ca92bfcc180?cid=b1e13d47b67249bda69ed912bb4f7133,1982,222440,62,0.000716,0.437,0.948,0.000261,0.146,-6.041,0.0554,96.72,4," Up here in space I’m looking down on you My lasers trace everything you do You think you’ve private lives  think nothing of the kind There is no true escape I’m watching all the time  I’m made of metal My circuits gleam I am perpetual I keep the country clean  I’m elected electric spy I’m protected electric eye  Always in focus  you can’t feel my stare I zoom into you but you don’t know I’m there I take a pride in probing all your secret moves My tearless retina takes pictures that can prove  I’m made of metal My circuits gleam I am perpetual I keep the country clean  I’m elected electric spy I’m protected electric eye   Electric eye in the sky Feel my stare always there There’s nothing you can do about it Develop and expose I feed upon your every thought And so my power grows
 I’m made of metal My circuits gleam I am perpetual I keep the country clean  I’m elected electric spy I’m protected electric eye  Im elected electric spy Im elected protected detective electric eye"
