,track,album,album_cover,artist,sample,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,lyrics
0,The Trooper - 2015 Remaster,Piece of Mind (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2732277d1a849a63c7075ec38ff,Iron Maiden,https://p.scdn.co/mp3-preview/a373cf851d1635e2cc904d7b83a2dc9eb80dc00e?cid=b1e13d47b67249bda69ed912bb4f7133,1983,252733,75,0.0318,0.285,0.908,0.00909,0.311,-4.601,0.0705,159.756,4," You'll take my life, but I'll take yours too You'll fire your musket, but I'll run you through So when you're waiting for the next attack You'd better stand, there's no turning back The bugle sounds, the charge begins But on this battlefield, no one wins The smell of acrid smoke   and horse's breath As I plunge on into certain death  Oh oh oh oh oh oh oh oh oh Oh oh oh oh oh oh oh oh oh  The horse, he sweats with fear, we break to run The mighty roar of the Russian guns And as we race towards the human wall The screams of pain as my comrades fall We hurdle bodies that lay on the ground And the Russians fire another round We get so near, yet so far away We won't live to fight another day  Oh oh oh oh oh oh oh oh oh Oh oh oh oh oh oh oh oh oh
    We get so close, near enough to fight When a Russian gets me in his sights He pulls the trigger and I feel the blow A burst of rounds takes my horse below And as I lay there, gazing at the sky My body's numb and my throat is dry And as I lay forgotten and alone Without a tear, I draw my parting groan  Oh oh oh oh oh oh oh oh oh Oh oh oh oh oh oh oh oh oh"
1,Run to the Hills - 2015 Remaster,The Number of the Beast (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2735c29a88ba5341ca428f0c322,Iron Maiden,https://p.scdn.co/mp3-preview/c315f66924d7e6427784fbda66d1772f3cbfda89?cid=b1e13d47b67249bda69ed912bb4f7133,1982,233506,73,0.0286,0.249,0.943,0.00401,0.162,-5.188,0.0669,173.671,4," White man came across the sea He brought us pain and misery He killed our tribes, he killed our creed He took our game for his own need We fought him hard, we fought him well Out on the plains we gave him hell But many came, too much for Cree Oh, will we ever be set free?  Riding through dust clouds and barren wastes Galloping hard on the plains Chasing the redskins back to their holes Fighting them at their own game Murder for freedom, the stab in the back Women and children are cowards, attack  Run to the hills, run for your lives Run to the hills, run for your lives  Soldier blue in the barren wastes Hunting and killing's their game Raping the women and wasting the men The only good Indians are tame Selling them whiskey and taking their gold Enslaving the young and destroying the old  Run to the hills, run for your lives Run to the hills, run for your lives   Run to the hills, run for your lives Run to the hills, run for your lives Run to the hills, run for your lives Run to the hills, run for your lives"
2,Fear of the Dark - 2015 Remaster,Fear of the Dark (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2730dda9c11454b9053d07f585a,Iron Maiden,https://p.scdn.co/mp3-preview/3dfbef8f1bf0394fb693dc7a203314325e9f23db?cid=b1e13d47b67249bda69ed912bb4f7133,1992,438120,72,0.000739,0.308,0.866,0.00141,0.232,-5.671,0.059,109.825,4," I am a man who walks alone And when I'm walking a dark road At night or strolling through the park When the light begins to change I sometimes feel a little strange A little anxious when it's dark  Fear of the dark, fear of the dark I have a constant fear That something's always near Fear of the dark, fear of the dark I have a phobia that someone's always there  Have you run your fingers down the wall And have you felt your neck skin crawl When you're searching for the light? Sometimes when you're scared To take a look, at the corner of the room You've sensed that something's watching you  Fear of the dark, fear of the dark I have constant fear That something's always near Fear of the dark, fear of the dark I have a phobia that someone's always there  Have you ever been alone at night Thought you heard footsteps behind And turned around and no-one's there? And as you quicken up your pace You find it hard to look again Because you're sure there's someone there  Fear of the dark, fear of the dark I have constant fear That something's always near Fear of the dark, fear of the dark I have a phobia that someone's always there
  Fear of the dark, fear of the dark Fear of the dark, fear of the dark Fear of the dark, fear of the dark Fear of the dark, fear of the dark Fear of the dark, fear of the dark Fear of the dark, fear of the dark Fear of the dark, fear of the dark Fear of the dark, fear of the dark  Watching horror films the night before Debating witches and folklore The unknown troubles on your mind Maybe your mind is playing tricks You sense, and suddenly eyes fix On dancing shadows from behind  Fear of the dark, fear of the dark I have constant fear That something's always near Fear of the dark, fear of the dark I have a phobia that someone's always there Fear of the dark, fear of the dark I have constant fear That something's always near Fear of the dark, fear of the dark I have a phobia that someone's always there
 When I'm walking a dark road I am a man who walks alone"
3,Wasted Years - 2015 Remaster,Somewhere in Time (2015 Remaster),https://i.scdn.co/image/ab67616d0000b27369059f3685b992f9ce22cd4c,Iron Maiden,https://p.scdn.co/mp3-preview/0d657d8c64eecd6b9b495d0a963b499c7faf93c5?cid=b1e13d47b67249bda69ed912bb4f7133,1986,309640,68,0.0263,0.314,0.959,0.000148,0.161,-4.657,0.0908,154.221,4," From the coast of gold Across the seven seas I'm travellin' on far and wide But now it seems I'm just a stranger to myself And all the things I sometimes do It isn't me but someone else  I close my eyes and think of home Another city goes by in the night Ain't it funny how it is? You never miss it 'til it's gone away And my heart is lying there And will be 'til my dying day  So understand Don't waste your time always searching for those wasted years Face up, make your stand And realize you're living in the golden years  Too much time on my hands I got you on my mind Can't ease this pain, so easily When you can't find the words to say It's hard to make it through another day And it makes me wanna cry And throw my hands up to the sky  So understand Don't waste your time always searching for those wasted years Face up, make your stand And realize you're living in the golden years   So understand Don't waste your time always searching for those wasted years Face up, make your stand And realize you're living in the golden years So understand Don't waste your time always searching for those wasted years Face up, make your stand And realize you're living in the golden years"
4,2 Minutes to Midnight - 2015 Remaster,Powerslave (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2730335e5389b34f6acfb73a82d,Iron Maiden,https://p.scdn.co/mp3-preview/26db09ecb26c0ee9fee06d1cb5e50ce08937859d?cid=b1e13d47b67249bda69ed912bb4f7133,1984,363586,66,0.00754,0.446,0.97,0.000275,0.199,-5.004,0.0508,94.233,4," Kill for gain, or shoot to maim But we don't need a reason The golden goose is on the loose And never out of season Blackened pride still burns inside This shell of bloody treason Here's my gun for a barrel of fun For the love of living death  The killer's breed or the Demon's seed The glamour, the fortune, the pain Go to war again, blood is freedom's stain Don't you pray for my soul anymore?  2 minutes to midnight The hands that threaten doom 2 minutes to midnight To kill the unborn in the womb  The blind men shout ""Let the creatures out We'll show the unbelievers"" The napalm screams of human flames Of a prime time Belsen feast, yeah! As the reasons for the carnage cut their meat and lick the gravy We oil the jaws of the war machine and feed it with our babies  The killer's breed or the Demon's seed The glamour, the fortune, the pain Go to war again, blood is freedom's stain Don't you pray for my soul anymore?  2 minutes to midnight The hands that threaten doom 2 minutes to midnight To kill the unborn in the womb
   The body bags and little rags of children torn in two And the jellied brains of those who remain to put the finger right on you As the madmen play on words and make us all dance to their song To the tune of starving millions to make a better kind of gun  The killer's breed or the Demon's seed The glamour, the fortune, the pain Go to war again, blood is freedom's stain Don't you pray for my soul anymore?  2 minutes to midnight The hands that threaten doom 2 minutes to midnight To kill the unborn in the womb  Midnight Midnight Midnight It's all night Midnight Midnight Midnight It's all night"
5,The Number of the Beast - 2015 Remaster,The Number of the Beast (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2735c29a88ba5341ca428f0c322,Iron Maiden,https://p.scdn.co/mp3-preview/e5eec14e5f92f1a6156ba6a689131625d504b57b?cid=b1e13d47b67249bda69ed912bb4f7133,1982,290586,69,0.088,0.409,0.89,0.107,0.0935,-6.839,0.0558,100.409,4," Woe to you, o'er Earth and Sea For the Devil sends the beast with wrath Because he knows the time is short Let him who hath understanding reckon the number of the beast For it is a human number Its number is six hundred and sixty-six  I left alone, my mind was blank I needed time to think, to get the memories from my mind What did I see? Can I believe That what I saw that night was real and not just fantasy? Just what I saw, in my old dreams Were they reflections of my warped mind staring back at me? Cos in my dreams, it's always there The evil face that twists my mind and brings me to despair Yeah  Night was black, was no use holding back Cos I just had to see, was someone watching me? In the mist, dark figures move and twist Was all this for real, or just some kind of hell?  Six-six-six, the number of the beast Hell and fire was spawned to be released  Torches blazed and sacred chants were phrased As they start to cry, hands held to the sky In the night, the fires are burning bright The ritual has begun, Satan's work is done  Six-six-six, the number of the beast Sacrifice is going on tonight   This can't go on, I must inform the law Can this still be real, or just some crazy dream? But I feel drawn towards the chanting hordes Seem to mesmerize, can't avoid the eyes
 Six-six-six, the number of the beast Six-six-six, the one for you and me  I'm coming back, I will return And I'll possess your body and I'll make you burn I have the fire, I have the force I have the power to make my evil take its course"
6,Wasting Love - 2015 Remaster,Fear of the Dark (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2730dda9c11454b9053d07f585a,Iron Maiden,https://p.scdn.co/mp3-preview/963ef4d48109cfc1c303365058ab8f9798661b54?cid=b1e13d47b67249bda69ed912bb4f7133,1992,351026,65,0.00562,0.324,0.667,3.56e-05,0.0873,-5.373,0.0321,142.503,4," Maybe one day I'll be an honest man Up 'til now I'm doing the best I can Long roads, long days of sunrise to sunset Sunrise to sunset  Dream on brothers, while you can Dream on sisters, I hope you find the one All of our lives, covered up quickly By the tides of time  Spend your days full of emptiness Spend your years full of loneliness Wasting love in a desperate caress Rolling shadows of night  Dream on brothers, while you can Dream on sisters, I hope you find the one All of our lives, covered up quickly By the tides of time  Sands are flowing and the lines Are in your hand In your eyes I see the hunger and the Desperate cry that tears the night  Spend your days full of emptiness Spend your years full of loneliness Wasting love in a desperate caress Rolling shadows of night 
 Spend your days full of emptiness Spend your years full of loneliness Wasting love in a desperate caress Rolling shadows of night  Spend your days full of emptiness Spend your years full of loneliness Wasting love in a desperate caress Rolling shadows of night"
7,Flight of Icarus - 2015 Remaster,Piece of Mind (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2732277d1a849a63c7075ec38ff,Iron Maiden,https://p.scdn.co/mp3-preview/dc9f0658417675c8dc2229604606faf9e6df750a?cid=b1e13d47b67249bda69ed912bb4f7133,1983,230760,63,0.147,0.368,0.917,0.000121,0.169,-4.829,0.0772,110.455,4," As the sun breaks above the ground An old man stands on the hill As the ground warms to the first rays of light A birdsong shatters the still  His eyes are ablaze See the madman in his gaze  Fly on your way, like an eagle Fly as high as the sun On your way, like an eagle Fly, touch the sun, yeah  Now the crowd breaks and a young boy appears Looks the old man in the eye As he spreads his wings and shouts at the crowd ""In the name of God, my father, I'll fly""  His eyes seem so glazed As he flies on the wings of a dream Now he knows his father betrayed Now his wings turn to ashes, to ashes his grave  Fly on your way, like an eagle Fly as high as the sun On your way, like an eagle Fly, touch the sun   Yeah!  Fly, on your way, like an eagle Fly as high as the sun On your way, like an eagle Fly as high as the sun On your way, like an eagle Fly, touch the sun On your way, like an eagle Fly...
  Fly as high as the sun"
8,Aces High - 2015 Remaster,Powerslave (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2730335e5389b34f6acfb73a82d,Iron Maiden,https://p.scdn.co/mp3-preview/96a8ef51969bc202ea1543c46d4061179ef846ae?cid=b1e13d47b67249bda69ed912bb4f7133,1984,271906,65,0.0337,0.3,0.936,0.021,0.158,-5.399,0.0456,133.065,4,"  There goes the siren that warns of the air raid There comes the sound of the guns sending flak Out for the scramble, we've got to get airborne Got to get up for the coming attack Jump in the cockpit and start up the engines Remove all the wheel blocks There's no time to waste Gathering speed as we head down the runway Got to get airborne before it's too late  Running, scrambling, flying Rolling, turning, diving, going in again Running, scrambling, flying Rolling, turning, diving  Run, live to fly Fly to live, do or die Won't you run, live to fly Fly to live ,  aces high   Move in to fire at the mainstream of bombers Let off a sharp burst and then turn away Roll over, spin round to come in behind them Move to their blindsides and firing again Bandits at 8 o'clock move in behind us Ten ME-109s out of the sun Ascending and turning our Spitfires to face them Heading straight for them I press down my guns  Rolling, turning, diving Rolling, turning, diving, doing it again Rolling, turning, diving Rolling, turning, diving
 Run, live to fly Fly to live, do or die Won't you run, live to fly Fly to live ,  aces high!"
9,Hallowed Be Thy Name - 2015 Remaster,The Number of the Beast (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2735c29a88ba5341ca428f0c322,Iron Maiden,https://p.scdn.co/mp3-preview/cb55675dd6cbd1bbb2387ce40622fa1a49675277?cid=b1e13d47b67249bda69ed912bb4f7133,1982,431093,67,0.0346,0.313,0.882,0.338,0.45,-6.215,0.0355,103.981,4," I'm waiting in my cold cell  when the bell begins to chime Reflecting on my past life and it doesn't have much time Cos at five o'clock they take me to the gallows pole The sands of time for me are running low Running low, yeah  When the priest comes to read me the last rites Take a look through the bars at the last sights Of a world that has gone very wrong for me Can it be that there's some sort of error? Hard to stop the surmounting terror Is it really the end, not some crazy dream?  Somebody please tell me that I'm dreaming It's not easy to stop from screaming But words escape me when I try to speak Tears fall, but why am I crying? After all, I'm not afraid of dying Don't I believe that there never is an end?   As the guards march me out to the courtyard Somebody cries from a cell, ""God be with you"" If there's a God, why has He let me go? As I walk, my life drifts before me And though the end is near, I'm not sorry Catch my soul, it's willing to fly away  Mark my words, believe my soul lives on Don't worry now that I have gone I've gone beyond to seek the truth When you know that your time is close at hand Maybe then you'll begin to understand Life down here is just a strange illusion
  Yeah, yeah, yeah Hallowed be thy name Yeah, yeah, yeah Hallowed be thy name Yeah"
