,track,album,album_cover,artist,sample,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,lyrics
0,Balada Del Diablo y La Muerte,Despedazado Por Mil Partes,https://i.scdn.co/image/ab67616d0000b2734b471c4c2e9187e94ef7fc6b,La Renga,,1996-01-01,336360,64,0.128,0.406,0.771,0.0,0.127,-6.991,0.0562,132.002,4,"  Estaba El Diablo mal parado En la esquina de mi barrio Ahí donde dobla el viento Y se cruzan los atajos Al lado de él estaba La Muerte Con una botella en la mano Me miraban de reojo y se reían por lo bajo Y yo que esperaba No sé a quién Al otro lado de la calle del otoño Una noche de bufanda Que me encontró desvelado Entre dientes oí a la muerte Que decía, que decía así:  ""Cuántas veces se habrá escapado Como laucha por tirante Y esta noche que no cuesta nada Ni siquiera fatigarme Podemos llevarnos un cordero Con sólo cruzar la calle""  Yo me escondí tras la niebla Y miré al infinito A ver si llegaba ese que nunca iba a venir Estaba El Diablo mal parado En la esquina de mi barrio Al lado de él estaba La Muerte Con una botella en la mano   Y temblando como una hoja Me crucé para encararlos Y les dije: ""Me parece que esta vez Me dejaron bien plantado"" Les pedí fuego y del bolsillo Saqué una rama pa' convidarlos Y bajo un árbol del otoño Nos quedamos chamuyando Me contaron de sus vidas Sus triunfos y sus fracasos De que el mundo andaba loco Y hasta el cielo fue comprado Y más miedo que ellos dos Me daba el propio ser humano
 Y yo ya no esperaba a nadie Entre las brisas del aquelarre El Diablo y La Muerte Se me fueron amigando Ahí donde dobla el viento Y se cruzan los atajos Ahí donde brilla la vida En la esquina de mi barrio  De mi barrio De mi barrio"
1,La Razón Que Te Demora,Detonador de Sueños,https://i.scdn.co/image/ab67616d0000b2737a51862c5fd3f4070b2df5a6,La Renga,https://p.scdn.co/mp3-preview/2f258da136c4f4c03337c5c8c73524fa8a7fa930?cid=b1e13d47b67249bda69ed912bb4f7133,2003-01-13,264838,61,0.00288,0.363,0.902,3.34e-05,0.285,-4.051,0.0403,134.597,4,
2,El Revelde,La Renga,https://i.scdn.co/image/ab67616d0000b2731aa8c66e1c27469058e2b794,La Renga,,1998-01-01,224266,61,0.0785,0.487,0.957,0.0,0.221,-4.928,0.115,125.448,4,"  Caminito al costado del mundo Por ahí he de andar Buscando me un rumbo Ser socio de esta sociedad Me puede matar  Soy el que nunca aprendió, desde que nació Cómo debe vivir el humano Llegué tarde al sistema Ya estaba enchufado Así funcionando Siempre que haya reunión, será mi opinión La que en la familia desate algún bardo No puedo acotar, está siempre mal La vida que amo  Caminito al costado del mundo Por ahí he de andar Buscándome un rumbo Ser socio de esta sociedad Me puede matar  Y me gusta el rock, el maldito rock Siempre me lleva el diablo No tengo religión Quizá éste no era mi lugar Pero tuve que nacer igual No me convence ningún Tipo de política Ni el demócrata, ni el fascista Porque me tocó ser así Ni siquiera anarquista  Caminito al costado del mundo Por ahí he de andar Buscándome un rumbo Ser socio de esta sociedad Me puede matar
  Yo veo todo al revés No veo como usted Yo no veo justicia Sólo miseria y hambre O será que soy yo Que llevo la contra como estandarte Perdónenme pero soy así soy Yo no sé por qué Sé que hay otros también Es que alguien debía de serlo Que prefiera la rebelión A vivir padeciendo  Ca-Ca-Caminito al costado del mundo Por ahí he de andar Buscándome un rumbo Ser socio de esta sociedad Me puede matar  Caminito al costado del mundo Por ahí he de andar Buscándome un rumbo Ser socio de esta sociedad Me puede matar"
3,Voy A Bailar A La Nave Del Olvido - Live,Bailando En Una Pata (Live),https://i.scdn.co/image/ab67616d0000b273d9b2beb0f295e139ae99fec3,La Renga,,1995-01-01,306800,56,0.0561,0.259,0.755,5.07e-05,0.872,-10.248,0.0914,97.425,4,
4,Veneno,Despedazado Por Mil Partes,https://i.scdn.co/image/ab67616d0000b2734b471c4c2e9187e94ef7fc6b,La Renga,,1996-01-01,248400,61,0.0104,0.398,0.906,0.00117,0.15,-5.965,0.0474,126.829,4,"En un rincón de las sierras Donde arden las estrellas Dejé mi herida abierta En un valle de penas Casi sin darte cuenta Se te puede enfermar el corazón Cuando uno menos lo espera El veneno ya está en tus venas En un río de deshielo Al sol de una mañana Trajeron en un cuerpo A un ángel de montaña Un par de ojos negros Te pueden robar la ilusión Y no hay cura ni remedio Que te haga ver mejor La luna y mi suerte Rompieron el encanto Perdí mi sueño en la noche Que el ángel se hizo diablo Un par de ojos negros Te pueden robar la ilusión Y no hay cura ni remedio Que te haga ver mejor
En un rincón de las sierras Donde arden las estrellas Dejé mi herida abierta En un valle de penas Casi sin darte cuenta Se te puede enfermar el corazón Cuando uno menos lo espera El veneno ya está en tus venas"
5,Triste Canción De Amor,A Donde Me Lleva La Vida,https://i.scdn.co/image/ab67616d0000b273c5a95016d412fd8bc0884084,La Renga,https://p.scdn.co/mp3-preview/e1f1285ca33f60ad827c3469798e8b7dff05c738?cid=b1e13d47b67249bda69ed912bb4f7133,1994-01-01,307386,56,0.00521,0.438,0.794,3.47e-06,0.0657,-8.948,0.0497,140.495,4,
6,Cuando Estés Acá,La Renga,https://i.scdn.co/image/ab67616d0000b2731aa8c66e1c27469058e2b794,La Renga,,1998-01-01,295773,55,0.00519,0.436,0.83,9.02e-06,0.165,-5.657,0.0395,96.884,4,
7,Oscuro diamante,Truenotierra,https://i.scdn.co/image/ab67616d0000b2731414d7efd2d08ba1b28ad728,La Renga,https://p.scdn.co/mp3-preview/105e3f6ba810dc0426d4aa1d7721f318d44e61df?cid=b1e13d47b67249bda69ed912bb4f7133,2006-01-14,222783,53,0.00106,0.46,0.901,6.33e-05,0.1,-3.281,0.0416,128.048,4,Busquemos libre algn lugar Al reparo del mundo Sin brillo que hoy En el cosmos de la mente Se hizo estrella opaca Hacia donde mas podemos ir Tal vez en lo oscuro te avances de mi Tal vez seamos fugitivos De donde nadie escapa Una huella invisible Quisiera dejar Y que nadie sepa Que estuvismos ac Y en la luz al primer sueo Para gritar lejos Si puedan mis ojos Ver en el sol Para esta vez Esa sombra descifrar Pero aunque ya se hizo tarde Sigamos buscando Perdidos sin decirlo Lo preciento final Enterrando la noche El pensado dolor Nos hacemos mas livianos Nos quedamos sin sentido El mundo por fin se apago Dejando a oscuras la vieja ilusin Y aunque sea Ya muy tarde Seguimos buscando Buscando...
8,El Final Es En Donde Partí,Despedazado Por Mil Partes,https://i.scdn.co/image/ab67616d0000b2734b471c4c2e9187e94ef7fc6b,La Renga,https://p.scdn.co/mp3-preview/ee84f9c444807332125a82ea350d0d6512114b26?cid=b1e13d47b67249bda69ed912bb4f7133,1996-01-01,276573,61,0.000258,0.249,0.947,0.000167,0.163,-6.99,0.0755,150.319,4,
9,Panic Show,La Esquina Del Infinito,https://i.scdn.co/image/ab67616d0000b2731dad83ee2d8493f3f6d636c4,La Renga,https://p.scdn.co/mp3-preview/2fdd2f3fa1b24e01825f7ed96f63f2fa0ffe60b8?cid=b1e13d47b67249bda69ed912bb4f7133,2000-01-01,182360,54,0.0186,0.491,0.979,0.0,0.0936,-4.554,0.133,129.975,4,"Hola a todos, yo soy el león Rugió la bestia en medio de la avenida Todos corrieron, sin entender Panic show a plena luz del día Por favor no huyan de mí Yo soy el rey de un mundo perdido Soy el rey y te destrozaré Todos los cómplices son de mi apetito ¡No te escapes! ven a mí Desnúdate y enfrenta mis dientes Yo soy el rey, el león Ven a saber lo que se siente Por favor no huyan de mí Yo soy el rey de un mundo perdido Soy el rey y te destrozaré Todos los cómplices son de mi apetito"
