,name,album,album_cover,artist,sample,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,The Trooper - 2015 Remaster,Piece of Mind (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2732277d1a849a63c7075ec38ff,Iron Maiden,https://p.scdn.co/mp3-preview/a373cf851d1635e2cc904d7b83a2dc9eb80dc00e?cid=b1e13d47b67249bda69ed912bb4f7133,1983,252733,75,0.0318,0.285,0.908,0.00909,0.311,-4.601,0.0705,159.756,4
1,Run to the Hills - 2015 Remaster,The Number of the Beast (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2735c29a88ba5341ca428f0c322,Iron Maiden,https://p.scdn.co/mp3-preview/c315f66924d7e6427784fbda66d1772f3cbfda89?cid=b1e13d47b67249bda69ed912bb4f7133,1982,233506,72,0.0286,0.249,0.943,0.00401,0.162,-5.188,0.0669,173.671,4
2,Fear of the Dark - 2015 Remaster,Fear of the Dark (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2730dda9c11454b9053d07f585a,Iron Maiden,https://p.scdn.co/mp3-preview/3dfbef8f1bf0394fb693dc7a203314325e9f23db?cid=b1e13d47b67249bda69ed912bb4f7133,1992,438120,72,0.000739,0.308,0.866,0.00141,0.232,-5.671,0.059,109.825,4
3,Wasted Years - 2015 Remaster,Somewhere in Time (2015 Remaster),https://i.scdn.co/image/ab67616d0000b27369059f3685b992f9ce22cd4c,Iron Maiden,https://p.scdn.co/mp3-preview/0d657d8c64eecd6b9b495d0a963b499c7faf93c5?cid=b1e13d47b67249bda69ed912bb4f7133,1986,309640,66,0.0263,0.314,0.959,0.000148,0.161,-4.657,0.0908,154.221,4
4,2 Minutes to Midnight - 2015 Remaster,Powerslave (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2730335e5389b34f6acfb73a82d,Iron Maiden,https://p.scdn.co/mp3-preview/26db09ecb26c0ee9fee06d1cb5e50ce08937859d?cid=b1e13d47b67249bda69ed912bb4f7133,1984,363586,66,0.00754,0.446,0.97,0.000275,0.199,-5.004,0.0508,94.233,4
5,The Number of the Beast - 2015 Remaster,The Number of the Beast (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2735c29a88ba5341ca428f0c322,Iron Maiden,https://p.scdn.co/mp3-preview/e5eec14e5f92f1a6156ba6a689131625d504b57b?cid=b1e13d47b67249bda69ed912bb4f7133,1982,290586,69,0.088,0.409,0.89,0.107,0.0935,-6.839,0.0558,100.409,4
6,Wasting Love - 2015 Remaster,Fear of the Dark (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2730dda9c11454b9053d07f585a,Iron Maiden,https://p.scdn.co/mp3-preview/963ef4d48109cfc1c303365058ab8f9798661b54?cid=b1e13d47b67249bda69ed912bb4f7133,1992,351026,64,0.00562,0.324,0.667,3.56e-05,0.0873,-5.373,0.0321,142.503,4
7,The Wicker Man - 2015 Remaster,Brave New World (2015 Remaster),https://i.scdn.co/image/ab67616d0000b273e1c50403652529dccf16f84c,Iron Maiden,https://p.scdn.co/mp3-preview/a7683ce1147a2f774f5bde6b5f05880655ccaeea?cid=b1e13d47b67249bda69ed912bb4f7133,2000,275253,60,0.000855,0.424,0.98,5.72e-06,0.129,-4.33,0.154,101.502,4
8,Aces High - 2015 Remaster,Powerslave (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2730335e5389b34f6acfb73a82d,Iron Maiden,https://p.scdn.co/mp3-preview/96a8ef51969bc202ea1543c46d4061179ef846ae?cid=b1e13d47b67249bda69ed912bb4f7133,1984,271906,64,0.0337,0.3,0.936,0.021,0.158,-5.399,0.0456,133.065,4
9,Hallowed Be Thy Name - 2015 Remaster,The Number of the Beast (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2735c29a88ba5341ca428f0c322,Iron Maiden,https://p.scdn.co/mp3-preview/cb55675dd6cbd1bbb2387ce40622fa1a49675277?cid=b1e13d47b67249bda69ed912bb4f7133,1982,431093,67,0.0346,0.313,0.882,0.338,0.45,-6.215,0.0355,103.981,4
