,track,album,album_cover,artist,sample,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,lyrics
0,Hijo de Puta,Hijo de Puta,https://i.scdn.co/image/ab67616d0000b2736757aa4e842cc404429d984a,Asspera,https://p.scdn.co/mp3-preview/dcef795b68df913fe270b8dc5233e110503c73f8?cid=b1e13d47b67249bda69ed912bb4f7133,2016-12-02,179440,43,0.000173,0.418,0.985,0.0,0.441,-4.239,0.16,199.934,4," 
 
 Qué jodido que es estar acá 
 Muchos quilombos la concha de su madre 
 No necesito de un despertador 
 Pues los gritos de una puta me enloquecen por la tarde 
 Le sumo mierda por la televisión 
 Si no es la gripe es el gobierno 
 Vivan los travas que la chupan mejor 
 Un sin fin de boludeces muerte a Omar y a Callejones 
 Hijos de puta sí 
 
 Qué pindonga que es estar acá 
 Entre matufias y la concha de su madre 
 No hay laburo ni de repartidor 
 Voy pagando los impuestos con estrés y mala sangre 
 Me tiro un pedo en medio de un ascensor 
 Banana y soda un como explosivo 
 Por la mañana vuele mucho mejor 
 Son mis sordos de protesta mientras pico y tomo alcohol 
 
 Caña Fortín  
 Capri Fernet  
 Y al Bordolino 
 
 Hijo de puta y la reputa madre que los re parió 
 Estoy cansado del pasado y del presente bufarrón 
 Gayola y mate en la mañana carpeteando el salchichón 
 La caja boba me salpica de diarrea la razón 
 
 ¡Hijos de puta 
 
 Hijos de puta 
 Hijos de puta 
 Hijos de puta Hijo de puta y la reputa madre que los re parió 
 Estoy cansado del pasado y del presente bufarrón 
 Gayola y mate en la mañana carpeteando el salchichón 
 La caja boba me salpica de diarrea la razón"
1,Vecinos de Mierda,Garcha2 X To2 La2,https://i.scdn.co/image/ab67616d0000b2737c0e1f7ebf82e66e0d59efce,Asspera,https://p.scdn.co/mp3-preview/b0f7dc30f335f04bbe9a4bfc33492e4b4bbce285?cid=b1e13d47b67249bda69ed912bb4f7133,2021-09-06,248090,36,1.31e-05,0.565,0.936,0.101,0.106,-4.197,0.0295,110.021,4,
2,Tarifazo,La Concha de Dio$,https://i.scdn.co/image/ab67616d0000b27373ab7cea3d2e93e4d226ebf0,Asspera,https://p.scdn.co/mp3-preview/977b7913ce650e2e29ac1b42bbd8d2da38047417?cid=b1e13d47b67249bda69ed912bb4f7133,2017-08-09,244718,33,0.000975,0.461,0.984,0.0,0.0368,-4.098,0.116,190.089,4," 
 
 Nuevamente me preparo 
 A mear fuera del tarro 
 Reventaron los impuestos 
 Voy a colgarme de la luz 
 Tengo los huevos por el piso 
 Ya se abusan los otarios 
 Un nudito entre los cables 
 ¡Y jamás vuelvo a garpar 
 Un puntito para el Ñery 
 Ya tengo electricidad 
 Ahora voy por otros curros 
 Cable SUBE agua y gas 
 
 No tendría que hacer esto 
 Sé que estoy obrando mal 
 Pero en tiempos de agua sucia 
 Busco formas de zafar 
 Si me muevo por izquierda 
 Un culito va a sangrar 
 Pido ayuda a San Caruso 
 Él me tiene que ayudar 
 Mi descenso va a salvar 
 
 Creo se me fue la mano 
 Con currarle al estado 
 Ahora vivo de colgado 
 ¡No me peguen soy Giordano 
 
 Siento golpes en la puerta 
 Es la municipalidad 
 Cagué fuego estoy re seco 
 No los puedo acomodar 
 
 No tendría que hacer esto 
 Sé que estoy obrando mal 
 Pero en tiempos de agua sucia 
 Busco formas de zafar 
 Si me muevo por izquierda 
 Un culito va a sangrar 
 Pido ayuda a San Caruso 
 Él me tiene que ayudar 
 Mi descenso va a salvar   
 
 Siento golpes en la puerta 
 Es la municipalidad 
 Cagué fuego estoy re seco 
 No los puedo acomodar 
 
 No tendría que hacer esto 
 Sé que estoy obrando mal 
 Pero en tiempos de agua sucia 
 Busco formas de zafar 
 Si me muevo por izquierda 
 Un culito va a sangrar 
 Pido ayuda a San Caruso 
 Él me tiene que ayudar 
 Mi descenso va a salvar 
 
 ¡Tarifazo las pelotas 
 ¡Tarifazo las pelotas 
 ¡Tarifazo las pelotas 
 ¡Tarifazo las pelotas"
3,El Peaje Mas Caro del Mundo,Cada Vez Mas Pelotudos,https://i.scdn.co/image/ab67616d0000b273aae24ded1aed28f578913ab4,Asspera,https://p.scdn.co/mp3-preview/2a5f12b924b527d99ad5a614151bf516a0efcaae?cid=b1e13d47b67249bda69ed912bb4f7133,2014,333653,35,0.000366,0.515,0.913,1.29e-06,0.864,-2.724,0.0467,125.016,4," 
 
 Tengo que salir rajando 
 Me espera la fija en cuatro 
 Verseándole a la patrona 
 Un chamuyo barato y ya me mandé a mudar 
 
 No llego a poner primera 
 Que un trapito me manguea 
 ""E amigo una moneda"" 
 Bondiazo en el orto que no voy a llegar 
 Agarro la General Paz 
 Quinta a fondo escuchando a Ricardo 
 Las horas no se pasan más 
 ¡Yeah 
 
 La ruta es un infierno 
 Bocinazos todo el tiempo 
 Hay un embotellamiento 
 Está todo todo cortado uy me quiero matar 
 
 Un piquete del carajo 
 Puteadas pibes llorando 
 Mis huevos se van inflando 
 Qué mufa qué yeta que no voy a llegar 
 Con un lápiz me pongo a pintar 
 La raya que perdí del orto 
 Las horas no se pasan más 
 
 Voy a pistear como un campeón 
 Soy un Schumacher un Fórmula 1 
 Debo llegar sin aflojar 
 Por el peaje más caro del mundo 
 Voy a pistear como un campeón 
 Soy un Schumacher un Fórmula 1 
 Debo llegar sin aflojar 
 Por el peaje más caro del mundo El más caro del mundo 
 El más caro del mundo 
 El más caro del mundo 
 El más caro del mundo 
 
  
 
 Voy a pistear como un campeón 
 Soy un Schumacher un Fórmula 1 
 Debo llegar sin aflojar 
 Por el peaje más caro del mundo 
 Voy a pistear como un campeón 
 Soy un Schumacher un Fórmula 1 
 Debo llegar sin aflojar 
 Por el peaje más caro del mundo 
 
 ¡El más caro del mundo 
 ¡El más caro del mundo 
 ¡El más caro del mundo 
 
  
 ¿Qué fue lo que pasó en pocas palabras? 
 Y lo que pasó e bueno 
 Yo venía pisteando como un campeón 
 Y bueno y se me cruzó 
 No sé qué se me cruzo 
 Y quedé como un un Schumacher un Fórmula 1 
 Soy un campeón"
4,Partiendo Cabezas,Hijo de Puta,https://i.scdn.co/image/ab67616d0000b2736757aa4e842cc404429d984a,Asspera,https://p.scdn.co/mp3-preview/611d2b82e1ee03c98dcd5c70c9cd23d724521134?cid=b1e13d47b67249bda69ed912bb4f7133,2016-12-02,300328,36,0.000168,0.507,0.961,8.35e-05,0.703,-4.647,0.0568,75.002,4," 
 
 Hoy es jueves y estoy en mi bulo 
 Preparo la pilcha para casinear 
 Pico una porza de muzza de anoche 
 Me subo a la chata vestido de frac 
 Prendo la radio estaciono en Varela 
 Ginebra en la mano me pongo a escuchar 
 Esperando que caiga una putita 
 Que con solo dieguita se coma el morcipán 
 ¡Sí sí sí morcipán morcipán sí 
 ¡Sí sí sí morcipán 
 
 Por el bajón del faso y el polvo 
 Tarjeteo una línea para amortizar 
 Le meto gamba camino pal barco 
 Contento y dispuesto mi sueldo a jugar 
 Keruseando llegó el escolazo 
 La concha e su madre la rula me lo zarpó 
 No queda filo y ya lo perdí todo 
 Me vuelvo pal barrio 
 Escuchando la voz de Perón 
 
 Le toco el timbre a una fija 
 Una de esas que el hombre sabe bien 
 No la puede perder 
 ¡Vamos José 
 
 Partiendo Cabezas estará sonando 
 Mientras me tira goma en el baño 
 La puta de Anita no se va a enojar 
 Si en la radio se escucha metal 
 Partiendo Cabezas estará sonando 
 Mientras me chupa la pija en el baño 
 La puta de Anita no me va a cobrar 
 Si de cortina se escucha el metal Partiendo Cabezas sí 
 Partiendo Cabezas 
 
  
 
 Partiendo cabezas estará sonando 
 Mientras me tira goma en el baño 
 La puta de Anita no se va a enojar 
 Si en la radio se escucha metal 
 Partiendo cabezas estará sonando 
 Mientras me chupa la pija en el baño 
 La puta de Anita no me va a cobrar 
 Si de cortina se escucha el metal 
 
 Partiendo Cabezas sí 
 Partiendo Cabezas"
5,La Puntita,Garcha2 X To2 La2,https://i.scdn.co/image/ab67616d0000b2737c0e1f7ebf82e66e0d59efce,Asspera,https://p.scdn.co/mp3-preview/52bf6d17b7a3df8b8b032e43ad3c6570cf8ea06d?cid=b1e13d47b67249bda69ed912bb4f7133,2021-09-06,298783,34,9.1e-05,0.364,0.854,0.000298,0.165,-5.179,0.0445,134.944,3,
6,La Concha de Dio,La Concha de Dio$,https://i.scdn.co/image/ab67616d0000b27373ab7cea3d2e93e4d226ebf0,Asspera,https://p.scdn.co/mp3-preview/4314fa6661544f348c4bc2b2c42b4853752573fe?cid=b1e13d47b67249bda69ed912bb4f7133,2017-08-09,226924,33,0.000917,0.598,0.976,7.07e-06,0.256,-4.436,0.13,94.984,4," 
 
 Doy mil vueltas en la cama 
 La calor no me deja dormir 
 Doble turno tengo mañana 
 No pego un ojo ¡me quiero morir 
 
 El escroto pide clemencia 
 ¡Y no funciona el ventilador 
 Me llueve la canaleta 
 ¡La zanja chorrea de transpiración 
 ¿Quién no parió una noche asi? 
 ¡Por favor diganmelo 
 No tengo guita pal split 
 Soy un pobre trabajador 
 ¿Quién no parió una noche asi? 
 No me lo nieguen por favor 
 Parece un horno mi bulín 
 ¡Qué verga la concha de dios 
 
 ¡La concha de dios 
 
 El reloj marca las cuatro 
 Y sigo sin poder torrar 
 Si llego a pegar un faltazo 
 Del laburo me van a rajar 
 
 Tiro la leche en la bañadera 
 Queda el pegote despues del pajón 
 No hay caso no existe manera 
 El verano de mierda no es mi estación 
 
 ¿Quién no parió una noche asi? 
 ¡Por favor diganmelo 
 No tengo guita pal split 
 Soy un pobre trabajador 
 ¿Quién no parió una noche asi? 
 No me lo nieguen por favor 
 Parece un horno mi bulín 
 ¡Qué verga la concha de dios ¡La concha de dios 
 
  
 
 ¿Quién no parió una noche asi? 
 ¡Por favor diganmelo 
 No tengo guita pal split 
 Soy un pobre trabajador 
 ¿Quién no parió una noche asi? 
 No me lo nieguen por favor 
 Parece un horno mi bulín 
 ¡Qué verga la concha de dios 
 
 ¡La concha de dios 
 ¡La concha de dios 
 ¡La concha de dios"
7,Don,Glandes Exitos,https://i.scdn.co/image/ab67616d0000b27342c79875a669c08d567e9e39,Asspera,https://p.scdn.co/mp3-preview/667318e14623d1ad532e66d47ca6c266e600f9c8?cid=b1e13d47b67249bda69ed912bb4f7133,2019-06-03,203691,33,0.000121,0.509,0.863,0.000113,0.363,-5.359,0.0554,195.028,4,
8,Gambeta,Hijo de Puta,https://i.scdn.co/image/ab67616d0000b2736757aa4e842cc404429d984a,Asspera,https://p.scdn.co/mp3-preview/aecc298f8a6533b23a5bede9a732ae13f7079a34?cid=b1e13d47b67249bda69ed912bb4f7133,2016-12-02,225613,31,0.000536,0.544,0.986,0.00191,0.104,-4.347,0.0747,94.961,4," 
 
 Ya son las seis de la matina 
 Y con resaca preparo la mochila 
 Previo pajón en la duchita 
 Arranco roto qué vida de porquería 
 Pateando al tren a laburar 
 Entre travestis y veredas reventadas 
 Una calor de re cagarse 
 Ni el clima ayuda la concha de mi hermana 
 
 Algún día la puta suerte 
 Creo que me llegará 
 La Solidaria el Quini o Roberto Galán 
 Resucitará 
 
 Olor a pedo olor a huevo 
 Me van bulteando de dorapa en el sarmiento 
 En el furgón todo es igual 
 El punga el cheto Callejones o el Omar 
 Los vendedores clavando codos 
 El chancho puto relojeando desde el fondo 
 Llego al trocen loco del bocho 
 Todos los días gambeteando este quilombo 
 
 Algún día la puta suerte 
 Creo que me llegará 
 Un pleno en rula el Prode 
 ¿Para qué mierda me pongo a rezar? Andá a la concha e tu madre concha e tu madre 
 Le grito al barba y a la puta virgen que jamas culió 
 Andá a la concha e tu madre concha e tu madre 
 Por mi desgracia estuvo bien que te cogieran en la cruz 
 
  
 
 Andá a la concha e tu madre concha e tu madre 
 Le grito al barba y a la puta virgen que jamas culió 
 Andá a la concha e tu madre concha e tu madre 
 Por mi desgracia estuvo bien que te cogieran en la cruz 
 
 Andá a la concha e tu madre concha e tu madre 
 Le grito al barba y a la puta virgen que jamas culió 
 Andá a la concha e tu madre concha e tu madre 
 Por mi desgracia estuvo bien que te cogieran en la cruz"
9,Cagon,Garcha2 X To2 La2,https://i.scdn.co/image/ab67616d0000b2737c0e1f7ebf82e66e0d59efce,Asspera,https://p.scdn.co/mp3-preview/ed4b4f8a372fecb3328abeb7129df3e13c07528f?cid=b1e13d47b67249bda69ed912bb4f7133,2021-09-06,250093,30,0.000188,0.635,0.879,0.00019,0.303,-5.102,0.0337,120.048,4,
