,track,album,album_cover,artist,sample,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,lyrics
0,Sonne,Mutter,https://i.scdn.co/image/ab67616d0000b2738b2c42026277efc3e058855b,Rammstein,,2001-04-02,272440,78,0.0054,0.51,0.917,0.000133,0.396,-4.806,0.0854,75.098,4," 
 
  
 Eins zwei drei vier fünf sechs sieben acht neun aus 
 
  
 Alle warten auf das Licht 
 Fürchtet euch fürchtet euch nicht 
 Die Sonne scheint mir aus den Augen 
 Sie wird heut Nacht nicht untergehn 
 Und die Welt zählt laut bis zehn 
  
  Hier kommt die Sonne 
  Hier kommt die Sonne 
  Sie ist der hellste Stern von allen 
  Hier kommt die Sonne 
 
  
 Die Sonne scheint mir aus den Händen 
 Kann verbrennen kann euch blenden 
 Wenn sie aus den Fäusten bricht 
 Legt sich heiß auf das Gesicht 
 Sie wird heut Nacht nicht untergehn 
 Und die Welt zählt laut bis zehn 
 
  
  Hier kommt die Sonne 
  Hier kommt die Sonne 
  Sie ist der hellste Stern von allen 
  Hier kommt die Sonne 
  Hier kommt die Sonne 
  Hier kommt die Sonne 
  Sie ist der hellste Stern von allen 
  Hier kommt die Sonne 
 
  
 Die Sonne scheint mir aus den Händen 
 Kann verbrennen kann dich blenden 
 Wenn sie aus den Fäusten bricht 
 Legt sich heiß auf dein Gesicht 
 Legt sich schmerzend auf die Brust 
 Das Gleichgewicht wird zum Verlust 
 Lässt dich hart zu Boden gehn 
 Und die Welt zählt laut bis zehn  
  Hier kommt die Sonne 
  Hier kommt die Sonne 
  Sie ist der hellste Stern von allen 
  Und wird nie vom Himmel fallen 
  Hier kommt die Sonne 
  Hier kommt die Sonne 
  Sie ist der hellste Stern von allen 
    Hier kommt die Sonne"
1,Deutschland,Rammstein,https://i.scdn.co/image/ab67616d0000b27302add2c77fb6999e311a3248,Rammstein,,2019-05-17,322339,77,5.54e-05,0.521,0.895,0.349,0.0985,-5.242,0.0442,120.117,4," 
 
  
 Du  
 Hast viel geweint  
 Im Geist getrennt  
 Im Herz vereint  
 Wir  
 Sind schon sehr lang zusammen  
 Dein Atem kalt  
 Das Herz in Flammen  
 Du  
 Ich  
 Wir  
 Ihr  
  
  Mein Herz in Flammen 
 Will dich lieben und verdammen 
  Dein Atem kalt 
 So jung und doch so alt 
  
 
  
 Ich  
 Ich will dich nie verlassen  
 Man kann dich lieben  
 Und will dich hassen  
 Überheblich überlegen 
 Übernehmen übergeben 
 Überraschen überfallen 
 Deutschland Deutschland über allen 
 
  
  Mein Herz in Flammen 
 Will dich lieben und verdammen 
  Dein Atem kalt 
 So jung und doch so alt 
  Deine Liebe ist Fluch und Segen 
  Meine Liebe kann ich dir nicht geben 
   
 Du 
 Ich 
 Wir 
 Ihr 
 Du  
 Ich  
 Wir  
 Ihr  
 
  
  Dein Herz in Flammen 
 Will dich lieben und verdammen 
  Mein Atem kalt 
 So jung und doch so alt 
  Deine Liebe ist Fluch und Segen 
  Meine Liebe kann ich dir nicht geben 
 "
2,Armee der Tristen,Zeit,https://i.scdn.co/image/ab67616d0000b2731108fef87966d83948b6a037,Rammstein,,2022-04-29,205589,73,0.000415,0.447,0.901,0.000103,0.225,-5.397,0.0491,86.01,4," 
 
  
 Bist du traurig so wie ich? 
 Dir laufen Tränen vom Gesicht? 
 Komm zu uns und reih dich ein 
 Wir wolln zusammen traurig sein 
 
  
  
  
  
 Warum stehst du noch am Rande? 
 Reih dich ein in unsre Bande 
 Wenn wir dann im Trist marschieren 
 Gar nichts nichts kann dir passieren 
 
  
 Hand in Hand nie mehr allein 
 Hand in Hand kein Blick zurück 
 Komm wir schließen unsre Reihen 
 Marschiern im Gleichschritt gegen Glück 
 
  
  Reih dich ein 
  Im Gleichschritt 
  Reih dich ein und 
 Komm mit im Gleichschritt 
 
  
 Depressiv betrübt zerschlagеn 
 Sollten wir zusammen verzagеn 
 Deprimiert und melancholisch 
 Pessimistisch diabolisch 
 Gründen auf verblühten Rosen 
 Die Partei der Hoffnungslosen 
 Werde Mitglied trete ein 
 Jeder darf es sein herein  
 Hand in Hand nie mehr allein  
 Hand in Hand kein Blick zurück 
 Komm wir schließen unsre Reihen 
 Marschiern im Gleichschritt gegen Glück 
 
  
  Reih dich ein 
  Im Gleichschritt 
  Reih dich ein und 
 Komm mit im Gleichschritt"
3,Du hast,Sehnsucht,https://i.scdn.co/image/ab67616d0000b273a715d32590424cd667879ba3,Rammstein,,1997-08-25,234226,76,0.00369,0.64,0.922,0.055,0.332,-6.283,0.0385,125.105,4," 
 
  
 Du du hast du hast mich 
 Du du hast du hast mich 
 Du du hast du hast mich 
 Du du hast du hast mich 
 
  
 Du du hast du hast mich du hast mich 
 Du hast mich gefragt du hast mich gefragt 
 Du hast mich gefragt und ich hab nichts gesagt 
  
 Willst du bis der Tod euch scheidet 
 Treu ihr sein für alle Tage? 
  Nein 
  Nein 
 Willst du bis der Tod euch scheidet 
 Treu ihr sein für alle Tage? 
  Nein 
  Nein 
 
  
 Du du hast du hast mich 
 Du du hast du hast mich 
 
  
 Du du hast du hast mich du hast mich 
 Du hast mich gefragt du hast mich gefragt 
 Du hast mich gefragt und ich hab nichts gesagt 
 
  
 Willst du bis der Tod euch scheidet 
 Treu ihr sein für alle Tage? 
  Nein 
  Nein 
 Willst du bis zum Tod der Scheide 
 Sie lieben auch in schlechten Tagen? 
  Nein 
  Nein 
 Willst du bis der Tod euch scheidet 
 Treu ihr sein 
  Nein 
  Nein"
4,Ich will,Mutter,https://i.scdn.co/image/ab67616d0000b2738b2c42026277efc3e058855b,Rammstein,,2001-04-02,217106,70,0.00138,0.648,0.896,0.000819,0.0879,-4.254,0.041,128.115,4," 
 
  
 Ich will 
 Ich will 
 Ich will 
 Ich will 
 Ich will 
 Ich will 
 Ich will 
 
  
  Ich will dass ihr mir vertraut 
  Ich will dass ihr mir glaubt 
  Ich will eure Blicke spüren 
  Jeden Herzschlag kontrollieren 
  Ich will eure Stimmen hören 
  Ich will die Ruhe stören 
  Ich will dass ihr mich gut seht 
  Ich will dass ihr mich versteht 
 
  
 
  
  Ich will eure Fantasie 
  Ich will eure Energie 
  Ich will eure Hände sehen 
  In Beifall untergehen  
 Seht ihr mich? 
 Versteht ihr mich? 
 Fühlt ihr mich? 
 Hört ihr mich? 
 
  
 Könnt ihr mich hören?  
 Könnt ihr mich sehen?  
 Könnt ihr mich fühlen?  
 Ich versteh euch nicht 
 Könnt ihr mich hören?  
 Könnt ihr mich sehen?  
 Könnt ihr mich fühlen?  
 Ich versteh euch nicht 
 
  
 Ich will 
 Ich will 
 Ich will 
 Ich will 
 
  
 Wir wollen dass ihr uns vertraut 
 Wir wollen dass ihr uns alles glaubt 
 Wir wollen eure Hände sehen 
 Wir wollen in Beifall untergehen ja  
 Könnt ihr mich hören?  
 Könnt ihr mich sehen?  
 Könnt ihr mich fühlen?  
 Ich versteh euch nicht 
 Könnt ihr uns hören?  
 Könnt ihr uns sehen?  
 Könnt ihr uns fühlen?  
 Wir verstehn euch nicht 
 
  
 Ich will 
 Ich will"
5,Auslander,Rammstein,https://i.scdn.co/image/ab67616d0000b27302add2c77fb6999e311a3248,Rammstein,,2019-05-17,231603,72,0.000757,0.681,0.912,0.00136,0.359,-4.159,0.0912,125.031,4," 
 
  
 Ich reise viel ich reise gern 
 Fern und nah und nah und fern 
 Ich bin zu Hause überall 
 Meine Sprache international 
 Ich mache es gern jedem recht 
 Ja mein Sprachschatz ist nicht schlecht 
 Ein scharfes Schwert im Wortgefecht 
 Mit dem anderen Geschlecht 
 
  
 Ich bin kein Mann für eine Nacht 
 Ich bleibe höchstens ein zwei Stunden 
 Bevor die Sonne wieder lacht 
 Bin ich doch schon längst verschwunden 
 Und ziehe weiter meine Runden 
 
  
 Ich bin Ausländer  
 Mi amor mon chéri 
 Ausländer  
 Ciao ragazza take a chance on me 
 Ich bin Ausländer  
 Mon amour я люблю тебя 
 Ein Ausländer  
 Come on baby cest cest cest la vie  
 Andere Länder andere Zungen 
 So hab’ ich mich schon früh gezwungen 
 Dem Missverständnis zum Verdruss 
 Dass man Sprachen lernen muss 
 Und wenn die Sonne untergeht 
 Und man vor Ausländerinnen steht 
 Ist es von Vorteil wenn man dann 
 Sich verständlich machen kann 
 
  
 Ich bin kein Mann für eine Nacht 
 Ich bleibe höchstens ein zwei Stunden 
 Bevor die Sonne wieder lacht 
 Bin ich doch schon längst verschwunden 
 Und ziehe weiter meine Runden 
 Hahahahahaha 
 
  
 Ich bin Ausländer  
 Mi amor mon chéri 
 Ausländer  
 Ciao ragazza take a chance on me 
 Ich bin Ausländer  
 Mon amour я люблю тебя 
 Ein Ausländer  
 Come on baby cest cest cest la vie  
 Du kommen mit ich dir machen gut 
 Du kommen mit ich dir machen gut 
 Du kommen mit ich dir machen gut"
6,Dicke Titten,Zeit,https://i.scdn.co/image/ab67616d0000b2731108fef87966d83948b6a037,Rammstein,,2022-04-29,218593,75,0.0205,0.63,0.823,0.00458,0.0377,-4.857,0.0496,117.048,4," 
 
  
 Ich leb alleine schon viele Jahre 
 Das Leben stumpf der Alltag grau 
 Verlier Geduld Verstand und Haare 
 Ich hätte gerne eine Frau 
 Und die Hoffnung will mir schwinden 
 Eine Partnerin zu finden 
 Die mir ebenbürtig ist 
 Nein da ist kein Glück in Sicht 
  
 Sie muss nicht schön sein 
 Sie muss nicht klug sein nein 
 Sie muss nicht reich sein 
 Kein Modell mit langen Schritten 
 Doch dicken Tittеn 
 
  
 Wie eine stеtig offene Wunde 
 Aus der Seele tropft das Blut 
 Einzig Trost sind  kleine Hunde 
 Ein feines Fräulein wäre gut 
 Ein feines Fräulein wäre toll 
 Ich bin auch gar nicht anspruchsvoll 
 Ich bin auch gar nicht wählerisch 
 Am Ende der Geschicht 
 
  
 Muss sie nicht schön sein 
 Sie muss nicht klug sein nein 
 Sie muss nicht reich sein 
 Doch um eines möchte ich bitten 
 Dicke Titten 
 
   
 Ich bin auch gar nicht anspruchsvoll 
 Doch große Brüste wären toll 
 
  
 Sie muss nicht schön sein 
 Sie muss nicht klug sein 
 Sie muss nur reich sein 
 An Fettgewebe bitte bitte 
 Sie wird nichts bei mir vermissen 
 Sie braucht mich auch gar nicht küssen 
 Braucht mich nicht mit Trauben laben 
 Sie muss nur Riesentitten haben 
 Dicke Titten"
7,Engel,Sehnsucht,https://i.scdn.co/image/ab67616d0000b273a715d32590424cd667879ba3,Rammstein,,1997-08-25,264266,71,0.00918,0.637,0.658,0.00229,0.295,-5.775,0.0291,96.072,4," 
 
  
 Wer zu Lebzeit gut auf Erden 
 Wird nach dem Tod ein Engel werden 
 Den Blick gen Himmel fragst du dann 
 Warum man sie nicht sehen kann 
 
  
 Erst wenn die Wolken schlafen gehen 
 Kann man uns am Himmel seh’n 
 Wir haben Angst und sind allein 
 Gott weiß ich will kein Engel sein 
  
 Sie leben hinterm Sonnenschein 
 Getrennt von uns unendlich weit 
 Sie müssen sich an Sterne krallen  
 Damit sie nicht vom Himmel fallen 
 
  
 Erst wenn die Wolken schlafen gehen 
 Kann man uns am Himmel seh’n 
 Wir haben Angst und sind allein 
 Gott weiß ich will kein Engel sein 
 Gott weiß ich will kein Engel sein 
 Gott weiß ich will kein Engel sein 
 
  
 
  
 Erst wenn die Wolken schlafen gehen 
 Kann man uns am Himmel sehen 
 Wir haben Angst und sind allein 
 Gott weiß ich will kein Engel sein 
 Gott weiß ich will kein Engel sein 
 Gott weiß ich will kein Engel sein 
 Gott weiß ich will kein Engel sein 
 Gott weiß ich will kein Engel sein"
8,Feuer frei,Mutter,https://i.scdn.co/image/ab67616d0000b2738b2c42026277efc3e058855b,Rammstein,,2001-04-02,188600,69,9.12e-05,0.491,0.966,0.346,0.153,-3.974,0.0463,95.141,4," 
 
  
 Getadelt wird wer Schmerzen kennt 
 Vom Feuer das die Haut verbrennt 
 Ich werf ein Licht in mein Gesicht 
 Ein heißer Schrei Feuer frei 
 
  
 Bäng bäng 
 Bäng bäng 
  
 Geadelt ist wer Schmerzen kennt 
 Vom Feuer das in Lust verbrennt 
 Ein Funkenstoß in ihren Schoß 
 Ein heißer Schrei Feuer frei 
 
  
 Bäng bäng 
 Bäng bäng 
 Feuer frei 
 Bäng bäng 
 Bäng bäng 
 Feuer frei 
 
  
 Gefährlich ist wer Schmerzen kennt 
 Vom Feuer das den Geist verbrennt  
 Gefährlich das gebrannte Kind 
 Mit Feuer das vom Leben trennt 
 Ein heißer Schrei  feuer frei 
 
  
 Dein Glück 
 Ist nicht mein Glück 
 Ist mein Unglück 
 Dein Glück 
 Ist nicht mein Glück 
 Ist mein Unglück  
 Bäng bäng 
 Bäng bäng 
 Feuer frei 
 Bäng bäng 
 Bäng bäng 
 Feuer frei 
 Bäng bäng 
 Bäng bäng 
 Feuer frei 
 Bäng bäng"
9,Radio,Rammstein,https://i.scdn.co/image/ab67616d0000b27302add2c77fb6999e311a3248,Rammstein,,2019-05-17,277397,70,0.00404,0.652,0.894,0.00381,0.124,-5.145,0.0409,132.03,4," 
 
  
 Wir durften nicht dazugehören 
 Nichts sehen reden oder hören 
 Doch jede Nacht für ein zwei Stunden 
 Bin ich dieser Welt entschwunden 
 Jede Nacht ein bisschen froh 
 Mein Ohr ganz nah am Weltempfänger 
 
  
 Radio mein Radio 
 Ich lass’ mich in den Äther saugen 
 Meine Ohren werden Augen 
 Radio mein Radio 
 So höre ich was ich nicht seh’ 
 Stille heimlich  fernes Weh 
  
 Wir durften nicht dazugehören 
 Nichts sehen reden oder stören 
 Jenes Liedgut war verboten 
 So gefährlich fremde Noten 
 Doch jede Nacht ein wenig froh 
 Mein Ohr ganz nah am Weltempfänger 
 
  
 Radio mein Radio 
 Ich lass’ mich in den  Äther  saugen 
 Meine Ohren werden Augen 
 Radio mein Radio  
 So höre ich was ich nicht seh’ 
 Stille heimlich  fernes Weh 
 
  
 Jede Nacht ich heimlich stieg 
 Auf den Rücken der Musik 
 Leg die Ohren an die Schwingen 
 Leise in die Hände singen 
 Jede Nacht und wieder flieg’ 
 Ich einfach fort mit der Musik 
 Schwebe so durch alle Räume 
 Keine Grenzen keine Zäune  
 Radio Radio 
 Radio Radio 
 
  
 Radio mein Radio  
 Ich lass’ mich in den Äther saugen 
 Meine Ohren werden Augen 
 Radio mein Radio  
 So höre ich was ich nicht seh’ 
 Stille heimlich  fernes Weh"
