,track,album,album_cover,artist,sample,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,lyrics
0,Cancion Animal,Cancion Animal (Remastered),https://i.scdn.co/image/ab67616d0000b273c451ed28353639e79b4d97d9,Soda Stereo,https://p.scdn.co/mp3-preview/e41b2950e61de818df85cd4cc8d5f0706d113dd3?cid=b1e13d47b67249bda69ed912bb4f7133,1990-10-09,247453,59,0.000848,0.635,0.789,0.00348,0.331,-6.815,0.0244,105.119,4," 
 
  
 Hipnotismo de un flagelo 
 Dulce tan dulce 
 Cuero piel y metal 
 Carmín y charol 
 
  
 Cuando el cuerpo no espera lo que llaman amor 
  
 Cada lágrima de hambre 
 El más puro néctar 
 Nada más dulce 
 Que el deseo en cadenas 
 
  
 Cuando el cuerpo no espera lo que llaman amor 
 Más se pide y se vive 
 Canción animal canción animal 
 
  
 No me sirven las palabras gemir es mejor 
 
  
 Cuando el cuerpo no espera lo que llaman amor 
 Más se pide y se vive 
 Canción animal canción animal 
 Más se pide y se vive  
 Más se pide y se vive 
 Canción animal canción animal"
1, El Septimo Dia,Cancion Animal (Remastered),https://i.scdn.co/image/ab67616d0000b273c451ed28353639e79b4d97d9,Soda Stereo,https://p.scdn.co/mp3-preview/51af67ed46e914b3b39c3f07ce1e6510cccda6e4?cid=b1e13d47b67249bda69ed912bb4f7133,1990-10-09,263280,56,0.0018,0.582,0.864,0.000578,0.17,-6.356,0.026,106.191,1,
2,Sobredosis de T.V.,Soda Stereo (Remastered),https://i.scdn.co/image/ab67616d0000b2738fd9b16eb6bdd20c95717258,Soda Stereo,https://p.scdn.co/mp3-preview/47476a2826f3128311b02615a5cec76a9f404852?cid=b1e13d47b67249bda69ed912bb4f7133,1984-02-06,249053,58,0.0313,0.764,0.797,0.327,0.0554,-3.691,0.0336,124.72,4,
3,El Rito,Signos (Remastered),https://i.scdn.co/image/ab67616d0000b2734a6f5598c41e77ae78cab725,Soda Stereo,https://p.scdn.co/mp3-preview/5553ece6f55d230b5b89f53bb30e3179332ddd92?cid=b1e13d47b67249bda69ed912bb4f7133,1986-10-09,366266,58,0.0201,0.677,0.792,0.0397,0.107,-6.089,0.0287,119.223,4," 
 
  
 Ooh ooh ooh ooh 
 Ooh ooh ooh ooh 
 Ooh ooh ooh ooh 
 Ooh ooh ooh 
 
  
 Soy un profanador 
 Estoy desafiando al tiempo 
 Ya ves mi transgresión 
 Es procurar tenerte 
 El cielo entiende que mi obsesión 
 Está llegando a un límite 
 El desierto al menos hoy 
 No parece no parece tan 
 
  
 Sueles encontrarme en cualquier lugar 
 Y ya lo sabes nada es casualidad   
 Tu misteriosa forma me lastimará   
 Pero a cada segundo estaré más cerca 
 Más más 
 
  
 Paralizándome 
 Jamás podré esperarte 
 Y no tengo porque esperar 
 En un altar de sacrificios 
 Solo meterme en tu ritual y descifrar tu enigma 
 Tal vez no hablar de más 
 El silencio no es tiempo perdido  
 Sueles encontrarme en cualquier lugar 
 Y ya lo sabes nada es casualidad   
 Tu misteriosa forma me lastimará   
 Pero a cada segundo estaré más cerca 
 Más más 
 Ooh ooh ooh 
 
  
 Desafiando al rito 
 Destruyendo mitos 
 
  
  
  
  
  
 
  
 Sueles encontrarme en cualquier lugar 
 Y ya lo sabes nada es casualidad   
 Tu misteriosa forma me lastimará   
 Pero a cada segundo estaré más cerca 
 Más más 
 Ooh ooh ooh  
 Desafiando al rito 
 Destruyendo mitos 
 Desafiando al rito 
 Destruyendo mitos ¡hey 
 
  
 Ooh ¡Hey hey"
4,Ella Uso Mi Cabeza Como Un Revolver,Comfort Y Musica Para Volar,https://i.scdn.co/image/ab67616d0000b2733875f29a2a8234ac7ef2706a,Soda Stereo,https://p.scdn.co/mp3-preview/68bb4cb181ff4ffb979aeb621352d139e1c227a1?cid=b1e13d47b67249bda69ed912bb4f7133,1996-09-01,364493,55,0.00284,0.396,0.764,0.0128,0.708,-7.348,0.0342,82.858,4," 
 
  
 Ella usó mi cabeza como un revólver 
 E incendio mi conciencia con sus demonios 
 Me vi llegando tarde tarde a todo 
 Despues de un baño cerebral 
 Estaba listo para ser amado 
 
  
 Pasa el tiempo y ahora creo que 
 El vacío es un lugar normal 
  
 Ella usó mi cabeza como un revólver 
 
  
 No creerías las cosas que he hecho por ella 
 Cobardemente pero sin vergüenza 
 Era una piedra en el agua seca por dentro 
 Así se siente cuando la verdad 
 Es la palabra sometida 
 
  
 Fui tan dócil como un guante 
 Y tan sincero como pude 
 
  
 Ella usó mi cabeza como un revólver 
 
  
 No creerías las cosas 
 Que he hecho por ella"
5,Lo Que Sangra ,Doble Vida (Remastered),https://i.scdn.co/image/ab67616d0000b27382cf3a9e2e2b6b1b3f994d38,Soda Stereo,https://p.scdn.co/mp3-preview/aa89d3fa81c587c4b91f39f031d561a6c47cc9b3?cid=b1e13d47b67249bda69ed912bb4f7133,1988-10-09,273933,57,0.0327,0.533,0.892,0.00029,0.3,-4.774,0.0388,101.305,4,
6,Un Misil En Mi Placard,Comfort Y Musica Para Volar,https://i.scdn.co/image/ab67616d0000b2733875f29a2a8234ac7ef2706a,Soda Stereo,https://p.scdn.co/mp3-preview/96d56ceb384f67b1c5709588a72a5516d230932f?cid=b1e13d47b67249bda69ed912bb4f7133,1996-09-01,274586,63,0.00223,0.502,0.782,0.00108,0.907,-7.707,0.0243,95.964,4," 
 
  
 Refugiados sobre el diván buscándonos 
 Agitados por nuestras formas frustrándonos 
 Algo ocurrió una extraña sensación un presentimiento 
 Tuve que dejar de hacer el amor en el momento 
 
  
 Fui en busca de un abrigo hacía frío 
 Encendí un cigarrillo tenía miedo 
  
 Y ahí lo ví Un misil en mi placard mi placard 
 Un modelo para armar pero nunca para desarmar 
 
  
 
  
 Te mire tristemente tristemente 
 No hay más tiempo que perder sonreíste 
 
  
 Estaba ahí un misil en mi placard mi placard 
 Un modelo para armar pero nunca para desarmar 
 
  
 Aquí también 
 ¿O creías que estabas lejos? 
 Aquí también 
 Aquí también 
 Uhh-uh-uh 
 Ahhh 
 Uhh-uh-uh 
 Ahhh 
 Un misil en mi placard oh ja 
 Un misil en mi placard oh ja 
 Aquí también  
 Un misil en mi placard"
7,Zoom,Gira Me Veras Volver,https://i.scdn.co/image/ab67616d0000b27352cd84d57eb20d5e477a94a9,Soda Stereo,https://p.scdn.co/mp3-preview/72a36c4f64fb8d07e9c5d8fb5613f5e42231e4c7?cid=b1e13d47b67249bda69ed912bb4f7133,2008-07-14,197506,53,0.00214,0.565,0.957,0.184,0.856,-4.899,0.033,96.059,4," 
 
  
 Quiero un zoom anatómico 
 Quiero el fin del secreto 
 Entre tus labios de plata 
 Y mi acero inolvidable 
 Quiero un loop 
 Protagónico 
 
  
 Pruébame y verás 
 Que todos somos adictos 
 A estos juegos de artificio 
 Voy a hacerte 
 Un macro porno intenso 
 Lo que seduce 
 Nunca suele estar 
 Donde se piensa 
 
  
 Zoom 
 
  
 Por aquí ya estuve 
 Te largas a reír 
 En tus comisuras 
 Dame un zoom 
 Luz cámara y acción"
8,Te Hacen Falta Vitaminas,Soda Stereo (Remastered),https://i.scdn.co/image/ab67616d0000b2738fd9b16eb6bdd20c95717258,Soda Stereo,https://p.scdn.co/mp3-preview/b6d0a66b7f400c9a64bfcd2ac762e32c38b54ee0?cid=b1e13d47b67249bda69ed912bb4f7133,1984-02-06,158293,59,0.0516,0.582,0.966,0.231,0.0412,-3.712,0.0675,186.296,4," 
 ¡Uh 
 ¡Ah 
 ¡Au ¡au ¡au ¡au 
 ¡Au ¡au ¡au ¡au 
 ¡Au ¡au ¡au ¡au 
 ¡Yeah 
 
  
 Por más que tengas los volúmenes al taco 
 Exprimiendo tus membranas 
 Saltando como una rana 
 Por más que intentes esquivarlo en algún vuelo 
 Hay algo que te ralla 
 Algo anda mal mal mal algo falla 
 Dando vueltas por tu cuarto sin sentido 
 Esperando algún milagro y no pasa nada 
  
 ¡Oye Te hacen falta vitaminas 
 ¡Oye Te hacen falta vitaminas 
 ¡Au 
 
  
 Depresiones obsesiones 
 ¿Hasta cuándo seguirán esas canciones? 
 ¿Qué esperás para soltarte para animarte? 
 ¿O supones que alguien viene a despertarte? 
 
  
 ¡Oye Te hacen falta vitaminas  
 ¡Oye Te hacen falta vitaminas  
 
  
 Va a ser mejor que te levantes de una vez 
 
  
 
  
 ¡Oye Te hacen falta vitaminas 
 ¡Oye Te hacen falta vitaminas  
 ¡Oye Te hacen falta vitaminas  
 ¡Oye Te hacen falta vitaminas  
 ¡Oye Te hacen falta vitaminas  
 ¡Oye Te hacen falta vitaminas  minas minas"
9,Hombre Al Agua,Cancion Animal (Remastered),https://i.scdn.co/image/ab67616d0000b273c451ed28353639e79b4d97d9,Soda Stereo,https://p.scdn.co/mp3-preview/2201dffeb6e197148a4d604a1c156b481165687f?cid=b1e13d47b67249bda69ed912bb4f7133,1990-10-09,355066,54,0.00916,0.603,0.657,0.0167,0.0704,-7.938,0.0265,97.113,4," 
 
  
 Meses navegando 
 Tierra a la vista 
 Todo volverá a ser como fue 
 Las luces en la costa 
 Son faros del pasado 
 Todo volverá a ser como fue 
 
  
 Y cuando salto de cubierta 
 Y me abandono a la corriente 
  
 
  
 Nuevas formas crecen 
 Son tan atractivas 
 Quiero descansar de todo ayer 
 
  
 Y voy flotando por el río 
 Voy envuelto en la corriente 
 
  
 Hombre al agua 
 Voces que se agitan 
 Hombre al agua 
 Barco a la deriva 
 
  
 
  
 Y voy flotando por el río 
 Descansando en la corriente 
 
  
 Hombre al agua 
 Voces que se agitan 
 Hombre al agua 
 Barco a la deriva  
 Amaneció 
  
 Me iré con estas olas 
  
 Todos gritarán 
 Hombre al agua 
 
  
 Voces que se agitan 
 Barco a la deriva 
 Voces que se agitan 
 Barco a la deriva 
 Voces que se agitan 
 Barco a la deriva 
 Voces que se agitan 
 Barco a la deriva"
